,year,region,value,units
378,2045,Samut Prakan,1982904.416,THB (current)
379,2045,Nonthaburi,886626.2403,THB (current)
380,2045,Rest of Thailand,25849021.51,THB (current)
381,2046,Thailand,44936752.94,THB (current)
382,2046,Bangkok,15184332.89,THB (current)
383,2046,Samut Prakan,2054288.975,THB (current)
384,2046,Nonthaburi,918544.785,THB (current)
385,2046,Rest of Thailand,26779586.29,THB (current)
386,2047,Thailand,46554476.05,THB (current)
387,2047,Bangkok,15730968.88,THB (current)
388,2047,Samut Prakan,2128243.379,THB (current)
389,2047,Nonthaburi,951612.3972,THB (current)
390,2047,Rest of Thailand,27743651.4,THB (current)
391,2048,Thailand,48230437.19,THB (current)
392,2048,Bangkok,16297283.76,THB (current)
393,2048,Samut Prakan,2204860.14,THB (current)
394,2048,Nonthaburi,985870.4435,THB (current)
395,2048,Rest of Thailand,28742422.85,THB (current)
396,2049,Thailand,49966732.93,THB (current)
397,2049,Bangkok,16883985.97,THB (current)
398,2049,Samut Prakan,2284235.105,THB (current)
399,2049,Nonthaburi,1021361.779,THB (current)
400,2049,Rest of Thailand,29777150.07,THB (current)
401,2050,Thailand,51765535.31,THB (current)
402,2050,Bangkok,17491809.47,THB (current)
403,2050,Samut Prakan,2366467.569,THB (current)
404,2050,Nonthaburi,1058130.804,THB (current)
405,2050,Rest of Thailand,30849127.47,THB (current)
406,2051,Thailand,53629094.58,THB (current)
407,2051,Bangkok,18121514.61,THB (current)
408,2051,Samut Prakan,2451660.402,THB (current)
409,2051,Nonthaburi,1096223.512,THB (current)
410,2051,Rest of Thailand,31959696.06,THB (current)
411,2052,Thailand,55559741.99,THB (current)
412,2052,Bangkok,18773889.14,THB (current)
413,2052,Samut Prakan,2539920.176,THB (current)
414,2052,Nonthaburi,1135687.559,THB (current)
415,2052,Rest of Thailand,33110245.12,THB (current)
416,2053,Thailand,57559892.7,THB (current)
417,2053,Bangkok,19449749.14,THB (current)
418,2053,Samut Prakan,2631357.302,THB (current)
419,2053,Nonthaburi,1176572.311,THB (current)
420,2053,Rest of Thailand,34302213.94,THB (current)
421,2054,Thailand,59632048.84,THB (current)
422,2054,Bangkok,20149940.11,THB (current)
423,2054,Samut Prakan,2726086.165,THB (current)
424,2054,Nonthaburi,1218928.914,THB (current)
425,2054,Rest of Thailand,35537093.64,THB (current)
426,2055,Thailand,61778802.6,THB (current)
427,2055,Bangkok,20875337.96,THB (current)
428,2055,Samut Prakan,2824225.267,THB (current)
429,2055,Nonthaburi,1262810.355,THB (current)
430,2055,Rest of Thailand,36816429.02,THB (current)
431,2056,Thailand,64002839.49,THB (current)
432,2056,Bangkok,21626850.12,THB (current)
433,2056,Samut Prakan,2925897.377,THB (current)
434,2056,Nonthaburi,1308271.528,THB (current)
435,2056,Rest of Thailand,38141820.46,THB (current)
436,2057,Thailand,66306941.71,THB (current)
437,2057,Bangkok,22405416.73,THB (current)
438,2057,Samut Prakan,3031229.682,THB (current)
439,2057,Nonthaburi,1355369.303,THB (current)
440,2057,Rest of Thailand,39514926,THB (current)
441,2058,Thailand,68693991.61,THB (current)
442,2058,Bangkok,23212011.73,THB (current)
443,2058,Samut Prakan,3140353.951,THB (current)
444,2058,Nonthaburi,1404162.598,THB (current)
445,2058,Rest of Thailand,40937463.33,THB (current)
446,2059,Thailand,71166975.31,THB (current)
447,2059,Bangkok,24047644.15,THB (current)
448,2059,Samut Prakan,3253406.693,THB (current)
449,2059,Nonthaburi,1454712.451,THB (current)
450,2059,Rest of Thailand,42411212.01,THB (current)
451,2060,Thailand,73728986.42,THB (current)
452,2060,Bangkok,24913359.34,THB (current)
453,2060,Samut Prakan,3370529.334,THB (current)
454,2060,Nonthaburi,1507082.1,THB (current)
455,2060,Rest of Thailand,43938015.64,THB (current)
456,2061,Thailand,76383229.93,THB (current)
457,2061,Bangkok,25810240.28,THB (current)
458,2061,Samut Prakan,3491868.39,THB (current)
459,2061,Nonthaburi,1561337.055,THB (current)
460,2061,Rest of Thailand,45519784.21,THB (current)
461,2062,Thailand,79133026.21,THB (current)
462,2062,Bangkok,26739408.93,THB (current)
463,2062,Samut Prakan,3617575.652,THB (current)
464,2062,Nonthaburi,1617545.189,THB (current)
465,2062,Rest of Thailand,47158496.44,THB (current)
466,2063,Thailand,81981815.15,THB (current)
467,2063,Bangkok,27702027.65,THB (current)
468,2063,Samut Prakan,3747808.376,THB (current)
469,2063,Nonthaburi,1675776.816,THB (current)
470,2063,Rest of Thailand,48856202.31,THB (current)
471,2064,Thailand,84933160.5,THB (current)
472,2064,Bangkok,28699300.65,THB (current)
473,2064,Samut Prakan,3882729.477,THB (current)
474,2064,Nonthaburi,1736104.781,THB (current)
475,2064,Rest of Thailand,50615025.59,THB (current)
476,2065,Thailand,87990754.28,THB (current)
477,2065,Bangkok,29732475.47,THB (current)
478,2065,Samut Prakan,4022507.738,THB (current)
479,2065,Nonthaburi,1798604.554,THB (current)
480,2065,Rest of Thailand,52437166.52,THB (current)
481,2066,Thailand,91158421.43,THB (current)
482,2066,Bangkok,30802844.59,THB (current)
483,2066,Samut Prakan,4167318.017,THB (current)
484,2066,Nonthaburi,1863354.317,THB (current)
485,2066,Rest of Thailand,54324904.51,THB (current)
486,2067,Thailand,94440124.6,THB (current)
487,2067,Bangkok,31911746.99,THB (current)
488,2067,Samut Prakan,4317341.466,THB (current)
489,2067,Nonthaburi,1930435.073,THB (current)
490,2067,Rest of Thailand,56280601.07,THB (current)
491,2068,Thailand,97839969.09,THB (current)
492,2068,Bangkok,33060569.88,THB (current)
493,2068,Samut Prakan,4472765.758,THB (current)
494,2068,Nonthaburi,1999930.736,THB (current)
495,2068,Rest of Thailand,58306702.71,THB (current)
496,2069,Thailand,101362208,THB (current)
497,2069,Bangkok,34250750.4,THB (current)
498,2069,Samut Prakan,4633785.326,THB (current)
499,2069,Nonthaburi,2071928.242,THB (current)
500,2069,Rest of Thailand,60405744.01,THB (current)
501,2070,Thailand,105011247.5,THB (current)
502,2070,Bangkok,35483777.41,THB (current)
503,2070,Samut Prakan,4800601.597,THB (current)
504,2070,Nonthaburi,2146517.659,THB (current)
505,2070,Rest of Thailand,62580350.79,THB (current)
506,2071,Thailand,108791652.4,THB (current)
507,2071,Bangkok,36761193.4,THB (current)
508,2071,Samut Prakan,4973423.255,THB (current)
509,2071,Nonthaburi,2223792.294,THB (current)
510,2071,Rest of Thailand,64833243.42,THB (current)
511,2072,Thailand,112708151.9,THB (current)
512,2072,Bangkok,38084596.36,THB (current)
513,2072,Samut Prakan,5152466.492,THB (current)
514,2072,Nonthaburi,2303848.817,THB (current)
515,2072,Rest of Thailand,67167240.19,THB (current)
516,2073,Thailand,116765645.3,THB (current)
517,2073,Bangkok,39455641.83,THB (current)
518,2073,Samut Prakan,5337955.286,THB (current)
519,2073,Nonthaburi,2386787.374,THB (current)
520,2073,Rest of Thailand,69585260.83,THB (current)
521,2074,Thailand,120969208.6,THB (current)
522,2074,Bangkok,40876044.94,THB (current)
523,2074,Samut Prakan,5530121.676,THB (current)
524,2074,Nonthaburi,2472711.72,THB (current)
525,2074,Rest of Thailand,72090330.22,THB (current)
526,2075,Thailand,125324100.1,THB (current)
527,2075,Bangkok,42347582.56,THB (current)
528,2075,Samut Prakan,5729206.056,THB (current)
529,2075,Nonthaburi,2561729.342,THB (current)
530,2075,Rest of Thailand,74685582.11,THB (current)
531,2076,Thailand,129835767.7,THB (current)
532,2076,Bangkok,43872095.53,THB (current)
533,2076,Samut Prakan,5935457.474,THB (current)
534,2076,Nonthaburi,2653951.598,THB (current)
535,2076,Rest of Thailand,77374263.07,THB (current)
536,2077,Thailand,134509855.3,THB (current)
537,2077,Bangkok,45451490.97,THB (current)
538,2077,Samut Prakan,6149133.943,THB (current)
539,2077,Nonthaburi,2749493.856,THB (current)
540,2077,Rest of Thailand,80159736.54,THB (current)
541,2078,Thailand,139352210.1,THB (current)
542,2078,Bangkok,47087744.64,THB (current)
543,2078,Samut Prakan,6370502.765,THB (current)
544,2078,Nonthaburi,2848475.634,THB (current)
545,2078,Rest of Thailand,83045487.05,THB (current)
546,2079,Thailand,144368889.7,THB (current)
547,2079,Bangkok,48782903.45,THB (current)
548,2079,Samut Prakan,6599840.865,THB (current)
549,2079,Nonthaburi,2951020.757,THB (current)
550,2079,Rest of Thailand,86035124.59,THB (current)
551,2080,Thailand,149566169.7,THB (current)
552,2080,Bangkok,50539087.97,THB (current)
553,2080,Samut Prakan,6837435.136,THB (current)
554,2080,Nonthaburi,3057257.505,THB (current)
555,2080,Rest of Thailand,89132389.07,THB (current)
556,2081,Thailand,154950551.8,THB (current)
557,2081,Bangkok,52358495.14,THB (current)
558,2081,Samut Prakan,7083582.801,THB (current)
559,2081,Nonthaburi,3167318.775,THB (current)
560,2081,Rest of Thailand,92341155.08,THB (current)
561,2082,Thailand,160528771.7,THB (current)
562,2082,Bangkok,54243400.96,THB (current)
563,2082,Samut Prakan,7338591.782,THB (current)
564,2082,Nonthaburi,3281342.251,THB (current)
565,2082,Rest of Thailand,95665436.66,THB (current)
566,2083,Thailand,166307807.4,THB (current)
567,2083,Bangkok,56196163.4,THB (current)
568,2083,Samut Prakan,7602781.086,THB (current)
569,2083,Nonthaburi,3399470.572,THB (current)
570,2083,Rest of Thailand,99109392.38,THB (current)
571,2084,Thailand,172294888.5,THB (current)
572,2084,Bangkok,58219225.28,THB (current)
573,2084,Samut Prakan,7876481.205,THB (current)
574,2084,Nonthaburi,3521851.512,THB (current)
575,2084,Rest of Thailand,102677330.5,THB (current)
576,2085,Thailand,178497504.5,THB (current)
577,2085,Bangkok,60315117.39,THB (current)
578,2085,Samut Prakan,8160034.528,THB (current)
579,2085,Nonthaburi,3648638.167,THB (current)
580,2085,Rest of Thailand,106373714.4,THB (current)
581,2086,Thailand,184923414.7,THB (current)
582,2086,Bangkok,62486461.62,THB (current)
583,2086,Samut Prakan,8453795.771,THB (current)
