,year,region,value,units
578,2085,Nonthaburi,3.871710065,THB (current)
579,2085,Samut Prakan,8.18010524,THB (current)
580,2085,Rest of Thailand,2.486022845,THB (current)
581,2086,Thailand,3.812427352,THB (current)
582,2086,Bangkok,15.2578331,THB (current)
583,2086,Nonthaburi,4.03986604,THB (current)
584,2086,Samut Prakan,8.535383282,THB (current)
585,2086,Rest of Thailand,2.593995702,THB (current)
586,2087,Thailand,3.97821329,THB (current)
587,2087,Bangkok,15.92133011,THB (current)
588,2087,Nonthaburi,4.2155423,THB (current)
589,2087,Samut Prakan,8.906550098,THB (current)
590,2087,Rest of Thailand,2.706797329,THB (current)
591,2088,Thailand,4.151425279,THB (current)
592,2088,Bangkok,16.61454716,THB (current)
593,2088,Nonthaburi,4.399087628,THB (current)
594,2088,Samut Prakan,9.294342592,THB (current)
595,2088,Rest of Thailand,2.824651681,THB (current)
596,2089,Thailand,4.332408436,THB (current)
597,2089,Bangkok,17.33886543,THB (current)
598,2089,Nonthaburi,4.590867731,THB (current)
599,2089,Samut Prakan,9.699533425,THB (current)
600,2089,Rest of Thailand,2.947793577,THB (current)
601,2090,Thailand,4.521524667,THB (current)
602,2090,Bangkok,18.09573333,THB (current)
603,2090,Nonthaburi,4.791266104,THB (current)
604,2090,Samut Prakan,10.12293284,THB (current)
605,2090,Rest of Thailand,3.076469259,THB (current)
606,2091,Thailand,4.719153528,THB (current)
607,2091,Bangkok,18.88666989,THB (current)
608,2091,Nonthaburi,5.000684947,THB (current)
609,2091,Samut Prakan,10.5653906,THB (current)
610,2091,Rest of Thailand,3.21093698,THB (current)
611,2092,Thailand,4.92569314,THB (current)
612,2092,Bangkok,19.71326845,THB (current)
613,2092,Nonthaburi,5.219546131,THB (current)
614,2092,Samut Prakan,11.02779804,THB (current)
615,2092,Rest of Thailand,3.351467622,THB (current)
616,2093,Thailand,5.141561148,THB (current)
617,2093,Bangkok,20.57720046,THB (current)
618,2093,Nonthaburi,5.448292217,THB (current)
619,2093,Samut Prakan,11.51109018,THB (current)
620,2093,Rest of Thailand,3.498345355,THB (current)
621,2094,Thailand,5.367195735,THB (current)
622,2094,Bangkok,21.4802196,THB (current)
623,2094,Nonthaburi,5.687387529,THB (current)
624,2094,Samut Prakan,12.01624805,THB (current)
625,2094,Rest of Thailand,3.65186832,THB (current)
626,2095,Thailand,5.603056698,THB (current)
627,2095,Bangkok,22.42416604,THB (current)
628,2095,Nonthaburi,5.937319293,THB (current)
629,2095,Samut Prakan,12.54430106,THB (current)
630,2095,Rest of Thailand,3.812349364,THB (current)
631,2096,Thailand,5.849626574,THB (current)
632,2096,Bangkok,23.41097094,THB (current)
633,2096,Nonthaburi,6.198598834,THB (current)
634,2096,Samut Prakan,13.09632952,THB (current)
635,2096,Rest of Thailand,3.980116809,THB (current)
636,2097,Thailand,6.107411837,THB (current)
637,2097,Bangkok,24.44266129,THB (current)
638,2097,Nonthaburi,6.471762841,THB (current)
639,2097,Samut Prakan,13.67346734,THB (current)
640,2097,Rest of Thailand,4.155515264,THB (current)
641,2098,Thailand,6.376944164,THB (current)
642,2098,Bangkok,25.52136493,THB (current)
643,2098,Nonthaburi,6.757374708,THB (current)
644,2098,Samut Prakan,14.27690486,THB (current)
645,2098,Rest of Thailand,4.338906482,THB (current)
646,2099,Thailand,6.658781763,THB (current)
647,2099,Bangkok,26.64931588,THB (current)
648,2099,Nonthaburi,7.056025945,THB (current)
649,2099,Samut Prakan,14.90789182,THB (current)
650,2099,Rest of Thailand,4.530670273,THB (current)
651,2100,Thailand,6.953510789,THB (current)
652,2100,Bangkok,27.82886001,THB (current)
653,2100,Nonthaburi,7.368337675,THB (current)
654,2100,Samut Prakan,15.56774051,THB (current)
655,2100,Rest of Thailand,4.731205459,THB (current)
