Units,scenario,region,sector,year,value
MTC,Ref_cities,KualaLumpur,trn_freight,2050,0.033246
MTC,Ref_cities,KualaLumpur,trn_freight,2055,0.036655
MTC,Ref_cities,KualaLumpur,trn_freight,2060,0.0398171
MTC,Ref_cities,KualaLumpur,trn_freight,2065,0.0428837
MTC,Ref_cities,KualaLumpur,trn_freight,2070,0.0457865
MTC,Ref_cities,KualaLumpur,trn_freight,2075,0.0487321
MTC,Ref_cities,KualaLumpur,trn_freight,2080,0.0517596
MTC,Ref_cities,KualaLumpur,trn_freight,2085,0.055114
MTC,Ref_cities,KualaLumpur,trn_freight,2090,0.0587116
MTC,Ref_cities,KualaLumpur,trn_freight,2095,0.0626107
MTC,Ref_cities,KualaLumpur,trn_freight,2100,0.0666912
MTC,Ref_cities,KualaLumpur,trn_freight_road,1975,0.03088124
MTC,Ref_cities,KualaLumpur,trn_freight_road,1990,0.08421548
MTC,Ref_cities,KualaLumpur,trn_freight_road,2005,0.2352761
MTC,Ref_cities,KualaLumpur,trn_freight_road,2010,0.253088
MTC,Ref_cities,KualaLumpur,trn_freight_road,2015,0.357218
MTC,Ref_cities,KualaLumpur,trn_freight_road,2020,0.390954236
MTC,Ref_cities,KualaLumpur,trn_freight_road,2025,0.434877642
MTC,Ref_cities,KualaLumpur,trn_freight_road,2030,0.4720940939
MTC,Ref_cities,KualaLumpur,trn_freight_road,2035,0.4987503274
MTC,Ref_cities,KualaLumpur,trn_freight_road,2040,0.53892014
MTC,Ref_cities,KualaLumpur,trn_freight_road,2045,0.578716395
MTC,Ref_cities,KualaLumpur,trn_freight_road,2050,0.620515591
MTC,Ref_cities,KualaLumpur,trn_freight_road,2055,0.66745609
MTC,Ref_cities,KualaLumpur,trn_freight_road,2060,0.717037167
MTC,Ref_cities,KualaLumpur,trn_freight_road,2065,0.765883411
MTC,Ref_cities,KualaLumpur,trn_freight_road,2070,0.812395697
MTC,Ref_cities,KualaLumpur,trn_freight_road,2075,0.857779404
MTC,Ref_cities,KualaLumpur,trn_freight_road,2080,0.904822354
MTC,Ref_cities,KualaLumpur,trn_freight_road,2085,0.955843518
MTC,Ref_cities,KualaLumpur,trn_freight_road,2090,1.01122937
MTC,Ref_cities,KualaLumpur,trn_freight_road,2095,1.07092731
MTC,Ref_cities,KualaLumpur,trn_freight_road,2100,1.1348694
MTC,Ref_cities,KualaLumpur,trn_pass,1975,0.001168331
MTC,Ref_cities,KualaLumpur,trn_pass,1990,0.00304575
MTC,Ref_cities,KualaLumpur,trn_pass,2005,0.00918248
MTC,Ref_cities,KualaLumpur,trn_pass,2010,0.01046826
MTC,Ref_cities,KualaLumpur,trn_pass,2015,0.01416674
MTC,Ref_cities,KualaLumpur,trn_pass,2020,0.01550565
MTC,Ref_cities,KualaLumpur,trn_pass,2025,0.01750751
MTC,Ref_cities,KualaLumpur,trn_pass,2030,0.01956029
MTC,Ref_cities,KualaLumpur,trn_pass,2035,0.02150336
MTC,Ref_cities,KualaLumpur,trn_pass,2040,0.02312541
MTC,Ref_cities,KualaLumpur,trn_pass,2045,0.02435238
MTC,Ref_cities,KualaLumpur,trn_pass,2050,0.02524413
MTC,Ref_cities,KualaLumpur,trn_pass,2055,0.02627264
MTC,Ref_cities,KualaLumpur,trn_pass,2060,0.02702055
MTC,Ref_cities,KualaLumpur,trn_pass,2065,0.0275735
MTC,Ref_cities,KualaLumpur,trn_pass,2070,0.02795776
MTC,Ref_cities,KualaLumpur,trn_pass,2075,0.02818274
MTC,Ref_cities,KualaLumpur,trn_pass,2080,0.02828631
MTC,Ref_cities,KualaLumpur,trn_pass,2085,0.02830103
MTC,Ref_cities,KualaLumpur,trn_pass,2090,0.02823764
MTC,Ref_cities,KualaLumpur,trn_pass,2095,0.02811829
MTC,Ref_cities,KualaLumpur,trn_pass,2100,0.02794003
MTC,Ref_cities,KualaLumpur,trn_pass_road,1975,0.00980639
MTC,Ref_cities,KualaLumpur,trn_pass_road,1990,0.0267188
MTC,Ref_cities,KualaLumpur,trn_pass_road,2005,0.07624231
MTC,Ref_cities,KualaLumpur,trn_pass_road,2010,0.08443203
MTC,Ref_cities,KualaLumpur,trn_pass_road,2015,0.11776381
MTC,Ref_cities,KualaLumpur,trn_pass_road,2020,0.15192816
MTC,Ref_cities,KualaLumpur,trn_pass_road,2025,0.16001625
MTC,Ref_cities,KualaLumpur,trn_pass_road,2030,0.12727909
MTC,Ref_cities,KualaLumpur,trn_pass_road,2035,0.11234467
MTC,Ref_cities,KualaLumpur,trn_pass_road,2040,0.10631989
MTC,Ref_cities,KualaLumpur,trn_pass_road,2045,0.1041654
MTC,Ref_cities,KualaLumpur,trn_pass_road,2050,0.10351737
MTC,Ref_cities,KualaLumpur,trn_pass_road,2055,0.10449621
MTC,Ref_cities,KualaLumpur,trn_pass_road,2060,0.10611864
MTC,Ref_cities,KualaLumpur,trn_pass_road,2065,0.10733557
MTC,Ref_cities,KualaLumpur,trn_pass_road,2070,0.10636606
MTC,Ref_cities,KualaLumpur,trn_pass_road,2075,0.10442196
MTC,Ref_cities,KualaLumpur,trn_pass_road,2080,0.10200885
MTC,Ref_cities,KualaLumpur,trn_pass_road,2085,0.09954947
MTC,Ref_cities,KualaLumpur,trn_pass_road,2090,0.09691652
MTC,Ref_cities,KualaLumpur,trn_pass_road,2095,0.09420733
MTC,Ref_cities,KualaLumpur,trn_pass_road,2100,0.09149885
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,1975,0.0194296
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,1990,0.0529429
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2005,0.148072344
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2010,0.159506397
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2015,0.225013375
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2020,0.16198738
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2025,0.12915897
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2030,0.13107742
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2035,0.11964015
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2040,0.10538625
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2045,0.09501293
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2050,0.0858552
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2055,0.0810137
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2060,0.0756506
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2065,0.070489
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2070,0.0663834
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2075,0.0629614
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2080,0.0603465
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2085,0.0571674
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2090,0.0537656
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2095,0.0506253
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV,2100,0.0489068
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,1975,0.01894316
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,1990,0.05161692
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2005,0.14564995
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2010,0.158852966
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2015,0.222951121
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2020,0.173956203
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2025,0.1484575108
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2030,0.1374216156
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2035,0.1239155915
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2040,0.1106349543
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2045,0.1100157495
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2050,0.1092646064
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2055,0.1089940019
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2060,0.1073617528
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2065,0.1049235704
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2070,0.103342045
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2075,0.1025073695
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2080,0.1015889681
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2085,0.1000049615
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2090,0.0983537186
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2095,0.0967464229
MTC,Ref_cities,KualaLumpur,trn_pass_road_LDV_4W,2100,0.0949380901
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,1975,0.0032349
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,1990,0.00424242
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2005,0.00540815
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2010,0.112771
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2015,0.0160345
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2020,0.016622
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2025,0.0180376
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2030,0.0196543
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2035,0.0214066
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2040,0.0231485
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2045,0.0247538
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2050,0.0262023
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2055,0.0274648
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2060,0.0285612
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2065,0.0295674
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2070,0.0304549
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2075,0.0313156
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2080,0.0322003
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2085,0.033139
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2090,0.0341107
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2095,0.0351188
MTC,Ref_cities,KualaLumpur,trn_shipping_intl,2100,0.0362647
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,1975,0.182205
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,1990,0.459161
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2005,1.4643
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2010,1.73397
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2015,2.28359
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2020,2.50404
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2025,2.80617
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2030,3.15379
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2035,3.51999
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2040,3.8725
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2045,4.17201
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2050,4.40585
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2055,4.68515
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2060,4.91772
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2065,5.11531
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2070,5.27614
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2075,5.41708
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2080,5.55195
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2085,5.69226
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2090,5.83276
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2095,5.9733
MTC,Ref_cities,Rest of Malaysia,trn_aviation_intl,2100,6.10848
MTC,Ref_cities,Rest of Malaysia,trn_freight,1975,0.00690881
MTC,Ref_cities,Rest of Malaysia,trn_freight,1990,0.0505637
MTC,Ref_cities,Rest of Malaysia,trn_freight,2005,0.05569941
MTC,Ref_cities,Rest of Malaysia,trn_freight,2010,0.06586322
MTC,Ref_cities,Rest of Malaysia,trn_freight,2015,0.2138088
MTC,Ref_cities,Rest of Malaysia,trn_freight,2020,0.2246964
MTC,Ref_cities,Rest of Malaysia,trn_freight,2025,0.2520076
MTC,Ref_cities,Rest of Malaysia,trn_freight,2030,0.287442
MTC,Ref_cities,Rest of Malaysia,trn_freight,2035,0.326993
MTC,Ref_cities,Rest of Malaysia,trn_freight,2040,0.366859
MTC,Ref_cities,Rest of Malaysia,trn_freight,2045,0.409137
MTC,Ref_cities,Rest of Malaysia,trn_freight,2050,0.44558
MTC,Ref_cities,Rest of Malaysia,trn_freight,2055,0.474854
MTC,Ref_cities,Rest of Malaysia,trn_freight,2060,0.499396
MTC,Ref_cities,Rest of Malaysia,trn_freight,2065,0.521597
MTC,Ref_cities,Rest of Malaysia,trn_freight,2070,0.541201
MTC,Ref_cities,Rest of Malaysia,trn_freight,2075,0.560635
MTC,Ref_cities,Rest of Malaysia,trn_freight,2080,0.580071
MTC,Ref_cities,Rest of Malaysia,trn_freight,2085,0.601942
MTC,Ref_cities,Rest of Malaysia,trn_freight,2090,0.624506
MTC,Ref_cities,Rest of Malaysia,trn_freight,2095,0.648327
MTC,Ref_cities,Rest of Malaysia,trn_freight,2100,0.671898
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,1975,0.5177472
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,1990,1.410256
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2005,3.941986
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2010,4.23953
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2015,5.985125
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2020,6.50229422
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2025,6.96601888
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2030,7.29607107
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2035,7.417642774
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2040,7.74850289
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2045,8.04432942
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2050,8.32769644
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2055,8.64997167
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2060,8.99478433
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2065,9.31598681
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2070,9.6029795
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2075,9.86851336
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2080,10.1406018
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2085,10.43972
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2090,10.7564296
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2095,11.0894202
MTC,Ref_cities,Rest of Malaysia,trn_freight_road,2100,11.4335397
MTC,Ref_cities,Rest of Malaysia,trn_pass,1975,0.01958027
MTC,Ref_cities,Rest of Malaysia,trn_pass,1990,0.0510247
MTC,Ref_cities,Rest of Malaysia,trn_pass,2005,0.1538579
MTC,Ref_cities,Rest of Malaysia,trn_pass,2010,0.1753623
MTC,Ref_cities,Rest of Malaysia,trn_pass,2015,0.2373512
MTC,Ref_cities,Rest of Malaysia,trn_pass,2020,0.267628
MTC,Ref_cities,Rest of Malaysia,trn_pass,2025,0.306973
MTC,Ref_cities,Rest of Malaysia,trn_pass,2030,0.353918
MTC,Ref_cities,Rest of Malaysia,trn_pass,2035,0.406996
MTC,Ref_cities,Rest of Malaysia,trn_pass,2040,0.455325
MTC,Ref_cities,Rest of Malaysia,trn_pass,2045,0.498008
MTC,Ref_cities,Rest of Malaysia,trn_pass,2050,0.533875
MTC,Ref_cities,Rest of Malaysia,trn_pass,2055,0.568012
MTC,Ref_cities,Rest of Malaysia,trn_pass,2060,0.595472
MTC,Ref_cities,Rest of Malaysia,trn_pass,2065,0.619277
MTC,Ref_cities,Rest of Malaysia,trn_pass,2070,0.640273
MTC,Ref_cities,Rest of Malaysia,trn_pass,2075,0.65936
MTC,Ref_cities,Rest of Malaysia,trn_pass,2080,0.678387
MTC,Ref_cities,Rest of Malaysia,trn_pass,2085,0.698509
MTC,Ref_cities,Rest of Malaysia,trn_pass,2090,0.718756
MTC,Ref_cities,Rest of Malaysia,trn_pass,2095,0.73913
MTC,Ref_cities,Rest of Malaysia,trn_pass,2100,0.759133
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,1975,0.164274
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,1990,0.447451
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2005,1.2773738
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2010,1.4144217
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2015,1.9730499
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2020,2.5613813
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2025,2.7265196
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2030,2.2104265
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2035,1.9957427
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2040,1.9282681
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2045,1.9261659
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2050,1.9481529
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2055,1.9952137
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2060,2.053527
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2065,2.102727
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2070,2.108991
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2075,2.093317
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2080,2.066606
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2085,2.037658
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2090,2.00515
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2095,1.969732
MTC,Ref_cities,Rest of Malaysia,trn_pass_road,2100,1.933204
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,1975,0.325504
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,1990,0.886602
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2005,2.48084989
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2010,2.672066
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2015,3.76997746
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2020,2.7580579
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2025,2.2532556
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2030,2.319937
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2035,2.147007
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2040,1.91797
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2045,1.748561
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2050,1.597665
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2055,1.527711
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2060,1.447467
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2065,1.367166
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2070,1.301626
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2075,1.245695
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2080,1.205074
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2085,1.153296
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2090,1.096602
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2095,1.043074
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV,2100,1.017322
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,1975,0.3173505
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,1990,0.86439
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2005,2.44024778
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2010,2.661146
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2015,3.73542
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2020,2.92492661
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2025,2.56991619
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2030,2.45905289
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2035,2.314054531
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2040,2.164264261
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2045,2.225944787
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2050,2.267626358
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2055,2.334981304
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2060,2.367471705
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2065,2.376436625
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2070,2.395980694
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2075,2.428800939
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2080,2.465558468
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2085,2.492915021
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2090,2.520849503
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2095,2.548148897
MTC,Ref_cities,Rest of Malaysia,trn_pass_road_LDV_4W,2100,2.569181946
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,1975,0.0541918
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,1990,0.0710574
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2005,0.0905959
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2010,1.88916
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2015,0.268637
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2020,0.277339
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2025,0.294512
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2030,0.314567
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2035,0.336239
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2040,0.357047
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2045,0.374989
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2050,0.389707
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2055,0.401147
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2060,0.410023
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2065,0.417575
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2070,0.423598
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2075,0.429325
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2080,0.435332
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2085,0.441904
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2090,0.448494
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2095,0.45518
MTC,Ref_cities,Rest of Malaysia,trn_shipping_intl,2100,0.463206
