year,region,value,units
2014,Nonthaburi,6596584366,USD (constant 2005)
2014,Rest of Thailand,2.11089E+11,USD (constant 2005)
2015,Thailand,3.35653E+11,USD (constant 2005)
2015,Bangkok,1.09115E+11,USD (constant 2005)
2015,Samut Prakan,16789956893,USD (constant 2005)
2015,Nonthaburi,6651184411,USD (constant 2005)
2015,Rest of Thailand,2.03097E+11,USD (constant 2005)
2016,Thailand,3.41515E+11,USD (constant 2005)
2016,Bangkok,1.1191E+11,USD (constant 2005)
2016,Samut Prakan,16452385763,USD (constant 2005)
2016,Nonthaburi,6775770252,USD (constant 2005)
2016,Rest of Thailand,2.06377E+11,USD (constant 2005)
2017,Thailand,3.70004E+11,USD (constant 2005)
2017,Bangkok,1.21154E+11,USD (constant 2005)
2017,Samut Prakan,17430399900,USD (constant 2005)
2017,Nonthaburi,7576008480,USD (constant 2005)
2017,Rest of Thailand,2.23844E+11,USD (constant 2005)
2018,Thailand,4.00752E+11,USD (constant 2005)
2018,Bangkok,1.32445E+11,USD (constant 2005)
2018,Samut Prakan,19384223260,USD (constant 2005)
2018,Nonthaburi,7994644315,USD (constant 2005)
2018,Rest of Thailand,2.40929E+11,USD (constant 2005)
2019,Thailand,4.23148E+11,USD (constant 2005)
2019,Bangkok,1.42984E+11,USD (constant 2005)
2019,Samut Prakan,19344252929,USD (constant 2005)
2019,Nonthaburi,8649495207,USD (constant 2005)
2019,Rest of Thailand,2.52171E+11,USD (constant 2005)
2020,Thailand,4.39651E+11,USD (constant 2005)
2020,Bangkok,1.4856E+11,USD (constant 2005)
2020,Samut Prakan,20098678793,USD (constant 2005)
2020,Nonthaburi,8986825520,USD (constant 2005)
2020,Rest of Thailand,2.62005E+11,USD (constant 2005)
2021,Thailand,4.56357E+11,USD (constant 2005)
2021,Bangkok,1.54205E+11,USD (constant 2005)
2021,Samut Prakan,20862428587,USD (constant 2005)
2021,Nonthaburi,9328324890,USD (constant 2005)
2021,Rest of Thailand,2.71961E+11,USD (constant 2005)
2022,Thailand,4.74155E+11,USD (constant 2005)
2022,Bangkok,1.60219E+11,USD (constant 2005)
2022,Samut Prakan,21676063302,USD (constant 2005)
2022,Nonthaburi,9692129561,USD (constant 2005)
2022,Rest of Thailand,2.82568E+11,USD (constant 2005)
2023,Thailand,4.92173E+11,USD (constant 2005)
2023,Bangkok,1.66308E+11,USD (constant 2005)
2023,Samut Prakan,22499753708,USD (constant 2005)
2023,Nonthaburi,10060430484,USD (constant 2005)
2023,Rest of Thailand,2.93305E+11,USD (constant 2005)
2024,Thailand,5.11368E+11,USD (constant 2005)
2024,Bangkok,1.72794E+11,USD (constant 2005)
2024,Samut Prakan,23377244102,USD (constant 2005)
2024,Nonthaburi,10452787273,USD (constant 2005)
2024,Rest of Thailand,3.04744E+11,USD (constant 2005)
2025,Thailand,5.308E+11,USD (constant 2005)
2025,Bangkok,1.7936E+11,USD (constant 2005)
2025,Samut Prakan,24265579378,USD (constant 2005)
2025,Nonthaburi,10849993189,USD (constant 2005)
2025,Rest of Thailand,3.16325E+11,USD (constant 2005)
2026,Thailand,5.50439E+11,USD (constant 2005)
2026,Bangkok,1.85996E+11,USD (constant 2005)
2026,Samut Prakan,25163405815,USD (constant 2005)
2026,Nonthaburi,11251442937,USD (constant 2005)
2026,Rest of Thailand,3.28029E+11,USD (constant 2005)
2027,Thailand,5.71356E+11,USD (constant 2005)
2027,Bangkok,1.93064E+11,USD (constant 2005)
2027,Samut Prakan,26119615236,USD (constant 2005)
2027,Nonthaburi,11678997769,USD (constant 2005)
2027,Rest of Thailand,3.40494E+11,USD (constant 2005)
2028,Thailand,5.92496E+11,USD (constant 2005)
2028,Bangkok,2.00207E+11,USD (constant 2005)
2028,Samut Prakan,27086041000,USD (constant 2005)
2028,Nonthaburi,12111120686,USD (constant 2005)
2028,Rest of Thailand,3.53092E+11,USD (constant 2005)
2029,Thailand,6.14419E+11,USD (constant 2005)
2029,Bangkok,2.07615E+11,USD (constant 2005)
2029,Samut Prakan,28088224517,USD (constant 2005)
2029,Nonthaburi,12559232151,USD (constant 2005)
2029,Rest of Thailand,3.66156E+11,USD (constant 2005)
2030,Thailand,6.37152E+11,USD (constant 2005)
2030,Bangkok,2.15297E+11,USD (constant 2005)
2030,Samut Prakan,29127488824,USD (constant 2005)
2030,Nonthaburi,13023923741,USD (constant 2005)
2030,Rest of Thailand,3.79704E+11,USD (constant 2005)
2031,Thailand,6.60727E+11,USD (constant 2005)
2031,Bangkok,2.23263E+11,USD (constant 2005)
2031,Samut Prakan,30205205910,USD (constant 2005)
2031,Nonthaburi,13505808920,USD (constant 2005)
2031,Rest of Thailand,3.93753E+11,USD (constant 2005)
2032,Thailand,6.85174E+11,USD (constant 2005)
2032,Bangkok,2.31523E+11,USD (constant 2005)
2032,Samut Prakan,31322798529,USD (constant 2005)
2032,Nonthaburi,14005523850,USD (constant 2005)
2032,Rest of Thailand,4.08322E+11,USD (constant 2005)
2033,Thailand,7.10525E+11,USD (constant 2005)
2033,Bangkok,2.4009E+11,USD (constant 2005)
2033,Samut Prakan,32481742075,USD (constant 2005)
2033,Nonthaburi,14523728232,USD (constant 2005)
2033,Rest of Thailand,4.2343E+11,USD (constant 2005)
2034,Thailand,7.36104E+11,USD (constant 2005)
2034,Bangkok,2.48733E+11,USD (constant 2005)
2034,Samut Prakan,33651084789,USD (constant 2005)
2034,Nonthaburi,15046582448,USD (constant 2005)
2034,Rest of Thailand,4.38673E+11,USD (constant 2005)
2035,Thailand,7.62604E+11,USD (constant 2005)
2035,Bangkok,2.57687E+11,USD (constant 2005)
2035,Samut Prakan,34862523842,USD (constant 2005)
2035,Nonthaburi,15588259416,USD (constant 2005)
2035,Rest of Thailand,4.54466E+11,USD (constant 2005)
2036,Thailand,7.90058E+11,USD (constant 2005)
2036,Bangkok,2.66964E+11,USD (constant 2005)
2036,Samut Prakan,36117574700,USD (constant 2005)
2036,Nonthaburi,16149436755,USD (constant 2005)
2036,Rest of Thailand,4.70827E+11,USD (constant 2005)
2037,Thailand,8.185E+11,USD (constant 2005)
2037,Bangkok,2.76575E+11,USD (constant 2005)
2037,Samut Prakan,37417807389,USD (constant 2005)
2037,Nonthaburi,16730816479,USD (constant 2005)
2037,Rest of Thailand,4.87776E+11,USD (constant 2005)
2038,Thailand,8.47966E+11,USD (constant 2005)
2038,Bangkok,2.86531E+11,USD (constant 2005)
2038,Samut Prakan,38764848455,USD (constant 2005)
2038,Nonthaburi,17333125872,USD (constant 2005)
2038,Rest of Thailand,5.05336E+11,USD (constant 2005)
2039,Thailand,8.78492E+11,USD (constant 2005)
2039,Bangkok,2.96847E+11,USD (constant 2005)
2039,Samut Prakan,40160383000,USD (constant 2005)
2039,Nonthaburi,17957118403,USD (constant 2005)
2039,Rest of Thailand,5.23528E+11,USD (constant 2005)
2040,Thailand,9.10118E+11,USD (constant 2005)
2040,Bangkok,3.07533E+11,USD (constant 2005)
2040,Samut Prakan,41606156788,USD (constant 2005)
2040,Nonthaburi,18603574666,USD (constant 2005)
2040,Rest of Thailand,5.42375E+11,USD (constant 2005)
2041,Thailand,9.42882E+11,USD (constant 2005)
2041,Bangkok,3.18604E+11,USD (constant 2005)
2041,Samut Prakan,43103978432,USD (constant 2005)
2041,Nonthaburi,19273303354,USD (constant 2005)
2041,Rest of Thailand,5.61901E+11,USD (constant 2005)
2042,Thailand,9.76826E+11,USD (constant 2005)
2042,Bangkok,3.30074E+11,USD (constant 2005)
2042,Samut Prakan,44655721656,USD (constant 2005)
2042,Nonthaburi,19967142274,USD (constant 2005)
2042,Rest of Thailand,5.82129E+11,USD (constant 2005)
2043,Thailand,1.01199E+12,USD (constant 2005)
2043,Bangkok,3.41957E+11,USD (constant 2005)
2043,Samut Prakan,46263327635,USD (constant 2005)
2043,Nonthaburi,20685959396,USD (constant 2005)
2043,Rest of Thailand,6.03086E+11,USD (constant 2005)
2044,Thailand,1.04842E+12,USD (constant 2005)
2044,Bangkok,3.54267E+11,USD (constant 2005)
2044,Samut Prakan,47928807430,USD (constant 2005)
2044,Nonthaburi,21430653935,USD (constant 2005)
2044,Rest of Thailand,6.24797E+11,USD (constant 2005)
2045,Thailand,1.08617E+12,USD (constant 2005)
2045,Bangkok,3.67021E+11,USD (constant 2005)
2045,Samut Prakan,49654244497,USD (constant 2005)
2045,Nonthaburi,22202157476,USD (constant 2005)
2045,Rest of Thailand,6.4729E+11,USD (constant 2005)
2046,Thailand,1.12527E+12,USD (constant 2005)
2046,Bangkok,3.80233E+11,USD (constant 2005)
2046,Samut Prakan,51441797299,USD (constant 2005)
2046,Nonthaburi,23001435145,USD (constant 2005)
2046,Rest of Thailand,6.70592E+11,USD (constant 2005)
2047,Thailand,1.16578E+12,USD (constant 2005)
2047,Bangkok,3.93922E+11,USD (constant 2005)
2047,Samut Prakan,53293702002,USD (constant 2005)
2047,Nonthaburi,23829486811,USD (constant 2005)
2047,Rest of Thailand,6.94733E+11,USD (constant 2005)
2048,Thailand,1.20775E+12,USD (constant 2005)
2048,Bangkok,4.08103E+11,USD (constant 2005)
2048,Samut Prakan,55212275274,USD (constant 2005)
2048,Nonthaburi,24687348336,USD (constant 2005)
2048,Rest of Thailand,7.19744E+11,USD (constant 2005)
2049,Thailand,1.25123E+12,USD (constant 2005)
2049,Bangkok,4.22795E+11,USD (constant 2005)
2049,Samut Prakan,57199917184,USD (constant 2005)
2049,Nonthaburi,25576092876,USD (constant 2005)
2049,Rest of Thailand,7.45655E+11,USD (constant 2005)
2050,Thailand,1.29627E+12,USD (constant 2005)
2050,Bangkok,4.38015E+11,USD (constant 2005)
2050,Samut Prakan,59259114203,USD (constant 2005)
2050,Nonthaburi,26496832219,USD (constant 2005)
2050,Rest of Thailand,7.72498E+11,USD (constant 2005)
2051,Thailand,1.34294E+12,USD (constant 2005)
2051,Bangkok,4.53784E+11,USD (constant 2005)
2051,Samut Prakan,61392442314,USD (constant 2005)
2051,Nonthaburi,27450718179,USD (constant 2005)
2051,Rest of Thailand,8.00308E+11,USD (constant 2005)
2052,Thailand,1.39128E+12,USD (constant 2005)
2052,Bangkok,4.7012E+11,USD (constant 2005)
2052,Samut Prakan,63602570237,USD (constant 2005)
2052,Nonthaburi,28438944034,USD (constant 2005)
2052,Rest of Thailand,8.29119E+11,USD (constant 2005)
2053,Thailand,1.44137E+12,USD (constant 2005)
2053,Bangkok,4.87044E+11,USD (constant 2005)
2053,Samut Prakan,65892262766,USD (constant 2005)
2053,Nonthaburi,29462746019,USD (constant 2005)
2053,Rest of Thailand,8.58968E+11,USD (constant 2005)
2054,Thailand,1.49326E+12,USD (constant 2005)
2054,Bangkok,5.04578E+11,USD (constant 2005)
2054,Samut Prakan,68264384225,USD (constant 2005)
2054,Nonthaburi,30523404876,USD (constant 2005)
2054,Rest of Thailand,8.8989E+11,USD (constant 2005)
2055,Thailand,1.54701E+12,USD (constant 2005)
2055,Bangkok,5.22743E+11,USD (constant 2005)
2055,Samut Prakan,70721902058,USD (constant 2005)
2055,Nonthaburi,31622247451,USD (constant 2005)
2055,Rest of Thailand,9.21926E+11,USD (constant 2005)
2056,Thailand,1.60271E+12,USD (constant 2005)
2056,Bangkok,5.41562E+11,USD (constant 2005)
2056,Samut Prakan,73267890532,USD (constant 2005)
2056,Nonthaburi,32760648360,USD (constant 2005)
2056,Rest of Thailand,9.55116E+11,USD (constant 2005)
2057,Thailand,1.6604E+12,USD (constant 2005)
2057,Bangkok,5.61058E+11,USD (constant 2005)
2057,Samut Prakan,75905534591,USD (constant 2005)
2057,Nonthaburi,33940031700,USD (constant 2005)
2057,Rest of Thailand,9.895E+11,USD (constant 2005)
2058,Thailand,1.72018E+12,USD (constant 2005)
2058,Bangkok,5.81256E+11,USD (constant 2005)
2058,Samut Prakan,78638133836,USD (constant 2005)
2058,Nonthaburi,35161872842,USD (constant 2005)
2058,Rest of Thailand,1.02512E+12,USD (constant 2005)
2059,Thailand,1.7821E+12,USD (constant 2005)
2059,Bangkok,6.02181E+11,USD (constant 2005)
2059,Samut Prakan,81469106654,USD (constant 2005)
2059,Nonthaburi,36427700264,USD (constant 2005)
2059,Rest of Thailand,1.06203E+12,USD (constant 2005)
2060,Thailand,1.84626E+12,USD (constant 2005)
2060,Bangkok,6.2386E+11,USD (constant 2005)
2060,Samut Prakan,84401994494,USD (constant 2005)
2060,Nonthaburi,37739097473,USD (constant 2005)
2060,Rest of Thailand,1.10026E+12,USD (constant 2005)
2061,Thailand,1.91273E+12,USD (constant 2005)
2061,Bangkok,6.46319E+11,USD (constant 2005)
2061,Samut Prakan,87440466295,USD (constant 2005)
2061,Nonthaburi,39097704983,USD (constant 2005)
2061,Rest of Thailand,1.13987E+12,USD (constant 2005)
2062,Thailand,1.98158E+12,USD (constant 2005)
2062,Bangkok,6.69586E+11,USD (constant 2005)
2062,Samut Prakan,90588323082,USD (constant 2005)
2062,Nonthaburi,40505222362,USD (constant 2005)
2062,Rest of Thailand,1.1809E+12,USD (constant 2005)
2063,Thailand,2.05292E+12,USD (constant 2005)
2063,Bangkok,6.93691E+11,USD (constant 2005)
2063,Samut Prakan,93849502713,USD (constant 2005)
2063,Nonthaburi,41963410367,USD (constant 2005)
2063,Rest of Thailand,1.22342E+12,USD (constant 2005)
2064,Thailand,2.12683E+12,USD (constant 2005)
2064,Bangkok,7.18664E+11,USD (constant 2005)
2064,Samut Prakan,97228084811,USD (constant 2005)
2064,Nonthaburi,43474093140,USD (constant 2005)
2064,Rest of Thailand,1.26746E+12,USD (constant 2005)
2065,Thailand,2.20339E+12,USD (constant 2005)
2065,Bangkok,7.44536E+11,USD (constant 2005)
2065,Samut Prakan,1.00728E+11,USD (constant 2005)
2065,Nonthaburi,45039160493,USD (constant 2005)
2065,Rest of Thailand,1.31309E+12,USD (constant 2005)
2066,Thailand,2.28271E+12,USD (constant 2005)
2066,Bangkok,7.71339E+11,USD (constant 2005)
2066,Samut Prakan,1.04355E+11,USD (constant 2005)
2066,Nonthaburi,46660570271,USD (constant 2005)
2066,Rest of Thailand,1.36036E+12,USD (constant 2005)
2067,Thailand,2.36489E+12,USD (constant 2005)
2067,Bangkok,7.99107E+11,USD (constant 2005)
2067,Samut Prakan,1.08111E+11,USD (constant 2005)
2067,Nonthaburi,48340350801,USD (constant 2005)
2067,Rest of Thailand,1.40933E+12,USD (constant 2005)
2068,Thailand,2.45003E+12,USD (constant 2005)
2068,Bangkok,8.27875E+11,USD (constant 2005)
2068,Samut Prakan,1.12003E+11,USD (constant 2005)
2068,Nonthaburi,50080603430,USD (constant 2005)
2068,Rest of Thailand,1.46007E+12,USD (constant 2005)
2069,Thailand,2.53823E+12,USD (constant 2005)
2069,Bangkok,8.57679E+11,USD (constant 2005)
2069,Samut Prakan,1.16035E+11,USD (constant 2005)
2069,Nonthaburi,51883505153,USD (constant 2005)
2069,Rest of Thailand,1.51263E+12,USD (constant 2005)
2070,Thailand,2.6296E+12,USD (constant 2005)
2070,Bangkok,8.88555E+11,USD (constant 2005)
2070,Samut Prakan,1.20213E+11,USD (constant 2005)
2070,Nonthaburi,53751311338,USD (constant 2005)
2070,Rest of Thailand,1.56709E+12,USD (constant 2005)
2071,Thailand,2.72427E+12,USD (constant 2005)
2071,Bangkok,9.20543E+11,USD (constant 2005)
2071,Samut Prakan,1.2454E+11,USD (constant 2005)
2071,Nonthaburi,55686358547,USD (constant 2005)
2071,Rest of Thailand,1.6235E+12,USD (constant 2005)
2072,Thailand,2.82234E+12,USD (constant 2005)
2072,Bangkok,9.53683E+11,USD (constant 2005)
2072,Samut Prakan,1.29024E+11,USD (constant 2005)
2072,Nonthaburi,57691067454,USD (constant 2005)
2072,Rest of Thailand,1.68195E+12,USD (constant 2005)
2073,Thailand,2.92395E+12,USD (constant 2005)
2073,Bangkok,9.88015E+11,USD (constant 2005)
2073,Samut Prakan,1.33669E+11,USD (constant 2005)
2073,Nonthaburi,59767945883,USD (constant 2005)
2073,Rest of Thailand,1.7425E+12,USD (constant 2005)
2074,Thailand,3.02921E+12,USD (constant 2005)
2074,Bangkok,1.02358E+12,USD (constant 2005)
2074,Samut Prakan,1.38481E+11,USD (constant 2005)
2074,Nonthaburi,61919591934,USD (constant 2005)
2074,Rest of Thailand,1.80523E+12,USD (constant 2005)
2075,Thailand,3.13826E+12,USD (constant 2005)
