"","region","year","value"
"99","Thailand",2078,3489542236000.51
"100","Thailand",2079,3615165756496.53
"101","Thailand",2080,3745311723730.41
"102","Thailand",2081,3880142945784.7
"103","Thailand",2082,4019828091832.95
"104","Thailand",2083,4164541903138.94
"105","Thailand",2084,4314465411651.94
"106","Thailand",2085,4469786166471.41
"107","Thailand",2086,4630698468464.38
"108","Thailand",2087,4797403613329.1
"109","Thailand",2088,4970110143408.95
"110","Thailand",2089,5149034108571.67
"111","Thailand",2090,5334399336480.25
"112","Thailand",2091,5526437712593.54
"113","Thailand",2092,5725389470246.91
"114","Thailand",2093,5931503491175.79
"115","Thailand",2094,6145037616858.12
"116","Thailand",2095,6366258971065.02
"117","Thailand",2096,6595444294023.36
"118","Thailand",2097,6832880288608.2
"119","Thailand",2098,7078863978998.09
"120","Thailand",2099,7333703082242.02
"121","Thailand",2100,7597716393202.74
"122","Bangkok",2020,148559931530.947
"123","Bangkok",2021,154205208929.123
"124","Bangkok",2022,160219212077.359
"125","Bangkok",2023,166307542136.298
"126","Bangkok",2024,172793536279.614
"127","Bangkok",2025,179359690658.239
"128","Bangkok",2026,185995999212.594
"129","Bangkok",2027,193063847182.673
"130","Bangkok",2028,200207209528.431
"131","Bangkok",2029,207614876280.983
"132","Bangkok",2030,215296626703.38
"133","Bangkok",2031,223262601891.405
"134","Bangkok",2032,231523318161.387
"135","Bangkok",2033,240089680933.358
"136","Bangkok",2034,248732909446.959
"137","Bangkok",2035,257687294187.049
"138","Bangkok",2036,266964036777.783
"139","Bangkok",2037,276574742101.783
"140","Bangkok",2038,286531432817.448
"141","Bangkok",2039,296846564398.876
"142","Bangkok",2040,307533040717.235
"143","Bangkok",2041,318604230183.056
"144","Bangkok",2042,330073982469.646
"145","Bangkok",2043,341956645838.553
"146","Bangkok",2044,354267085088.741
"147","Bangkok",2045,367020700151.936
"148","Bangkok",2046,380233445357.405
"149","Bangkok",2047,393921849390.272
"150","Bangkok",2048,408103035968.322
"151","Bangkok",2049,422794745263.182
"152","Bangkok",2050,438015356092.656
"153","Bangkok",2051,453783908911.992
"154","Bangkok",2052,470120129632.823
"155","Bangkok",2053,487044454299.605
"156","Bangkok",2054,504578054654.391
"157","Bangkok",2055,522742864621.949
"158","Bangkok",2056,541561607748.339
"159","Bangkok",2057,561057825627.279
"160","Bangkok",2058,581255907349.861
"161","Bangkok",2059,602181120014.456
"162","Bangkok",2060,623859640334.977
"163","Bangkok",2061,646318587387.036
"164","Bangkok",2062,669586056532.969
"165","Bangkok",2063,693691154568.156
"166","Bangkok",2064,718664036132.61
"167","Bangkok",2065,744535941433.384
"168","Bangkok",2066,771339235324.986
"169","Bangkok",2067,799107447796.685
"170","Bangkok",2068,827875315917.366
"171","Bangkok",2069,857678827290.391
"172","Bangkok",2070,888555265072.845
"173","Bangkok",2071,920543254615.468
"174","Bangkok",2072,953682811781.624
"175","Bangkok",2073,988015393005.763
"176","Bangkok",2074,1023583947153.97
"177","Bangkok",2075,1060432969251.51
"178","Bangkok",2076,1098608556144.57
"179","Bangkok",2077,1138158464165.77
"180","Bangkok",2078,1179132168875.74
"181","Bangkok",2079,1221580926955.27
"182","Bangkok",2080,1265557840325.66
"183","Bangkok",2081,1311117922577.38
"184","Bangkok",2082,1358318167790.17
"185","Bangkok",2083,1407217621830.61
"186","Bangkok",2084,1457877456216.51
"187","Bangkok",2085,1510361044640.31
"188","Bangkok",2086,1564734042247.36
"189","Bangkok",2087,1621064467768.26
"190","Bangkok",2088,1679422788607.92
"191","Bangkok",2089,1739882008997.81
"192","Bangkok",2090,1802517761321.73
"193","Bangkok",2091,1867408400729.31
"194","Bangkok",2092,1934635103155.57
"195","Bangkok",2093,2004281966869.17
"196","Bangkok",2094,2076436117676.46
"197","Bangkok",2095,2151187817912.81
"198","Bangkok",2096,2228630579357.67
"199","Bangkok",2097,2308861280214.55
"200","Bangkok",2098,2391980286302.27
"201","Bangkok",2099,2478091576609.15
"202","Bangkok",2100,2567302873367.08
"203","Nonthaburi",2020,8986825520.06429
"204","Nonthaburi",2021,9328324889.82673
"205","Nonthaburi",2022,9692129560.52997
"206","Nonthaburi",2023,10060430483.8301
"207","Nonthaburi",2024,10452787272.6995
"208","Nonthaburi",2025,10849993189.0621
"209","Nonthaburi",2026,11251442937.0574
"210","Nonthaburi",2027,11678997768.6655
"211","Nonthaburi",2028,12111120686.1062
"212","Nonthaburi",2029,12559232151.4921
"213","Nonthaburi",2030,13023923741.0973
"214","Nonthaburi",2031,13505808919.5179
"215","Nonthaburi",2032,14005523849.5401
"216","Nonthaburi",2033,14523728231.973
"217","Nonthaburi",2034,15046582448.3241
"218","Nonthaburi",2035,15588259416.4637
"219","Nonthaburi",2036,16149436755.4564
"220","Nonthaburi",2037,16730816478.6529
"221","Nonthaburi",2038,17333125871.8844
"222","Nonthaburi",2039,17957118403.2722
"223","Nonthaburi",2040,18603574665.79
"224","Nonthaburi",2041,19273303353.7584
"225","Nonthaburi",2042,19967142274.4938
"226","Nonthaburi",2043,20685959396.3755
"227","Nonthaburi",2044,21430653934.6451
"228","Nonthaburi",2045,22202157476.2923
"229","Nonthaburi",2046,23001435145.4388
"230","Nonthaburi",2047,23829486810.6746
"231","Nonthaburi",2048,24687348335.8589
"232","Nonthaburi",2049,25576092875.9498
"233","Nonthaburi",2050,26496832219.484
"234","Nonthaburi",2051,27450718179.3854
"235","Nonthaburi",2052,28438944033.8433
"236","Nonthaburi",2053,29462746019.0616
"237","Nonthaburi",2054,30523404875.7479
"238","Nonthaburi",2055,31622247451.2748
"239","Nonthaburi",2056,32760648359.5207
"240","Nonthaburi",2057,33940031700.4634
"241","Nonthaburi",2058,35161872841.6801
"242","Nonthaburi",2059,36427700263.9806
"243","Nonthaburi",2060,37739097473.4839
"244","Nonthaburi",2061,39097704982.5293
"245","Nonthaburi",2062,40505222361.9004
"246","Nonthaburi",2063,41963410366.9288
"247","Nonthaburi",2064,43474093140.1382
"248","Nonthaburi",2065,45039160493.1832
"249","Nonthaburi",2066,46660570270.9378
"250","Nonthaburi",2067,48340350800.6916
"251","Nonthaburi",2068,50080603429.5165
"252","Nonthaburi",2069,51883505152.9791
"253","Nonthaburi",2070,53751311338.4863
"254","Nonthaburi",2071,55686358546.6718
"255","Nonthaburi",2072,57691067454.352
"256","Nonthaburi",2073,59767945882.7087
"257","Nonthaburi",2074,61919591934.4862
"258","Nonthaburi",2075,64148697244.1277
"259","Nonthaburi",2076,66458050344.9163
"260","Nonthaburi",2077,68850540157.3333
"261","Nonthaburi",2078,71329159602.9973
"262","Nonthaburi",2079,73897009348.7052
"263","Nonthaburi",2080,76557301685.2586
"264","Nonthaburi",2081,79313364545.9279
"265","Nonthaburi",2082,82168645669.5813
"266","Nonthaburi",2083,85126716913.6862
"267","Nonthaburi",2084,88191278722.5789
"268","Nonthaburi",2085,91366164756.5918
"269","Nonthaburi",2086,94655346687.8291
"270","Nonthaburi",2087,98062939168.5909
"271","Nonthaburi",2088,101593204978.66
"272","Nonthaburi",2089,105250560357.892
"273","Nonthaburi",2090,109039580530.776
"274","Nonthaburi",2091,112965005429.884
"275","Nonthaburi",2092,117031745625.36
"276","Nonthaburi",2093,121244888467.873
"277","Nonthaburi",2094,125609704452.716
"278","Nonthaburi",2095,130131653813.014
"279","Nonthaburi",2096,134816393350.283
"280","Nonthaburi",2097,139669783510.893
"281","Nonthaburi",2098,144697895717.285
"282","Nonthaburi",2099,149907019963.107
"283","Nonthaburi",2100,155303672681.779
"284","Samut Prakan",2020,20098678793.086
"285","Samut Prakan",2021,20862428587.2233
"286","Samut Prakan",2022,21676063302.125
"287","Samut Prakan",2023,22499753707.6057
"288","Samut Prakan",2024,23377244102.2023
"289","Samut Prakan",2025,24265579378.086
"290","Samut Prakan",2026,25163405815.0752
"291","Samut Prakan",2027,26119615236.0481
"292","Samut Prakan",2028,27086040999.7818
"293","Samut Prakan",2029,28088224516.7738
"294","Samut Prakan",2030,29127488823.8944
"295","Samut Prakan",2031,30205205910.3785
"296","Samut Prakan",2032,31322798529.0625
"297","Samut Prakan",2033,32481742074.6378
"298","Samut Prakan",2034,33651084789.3248
"299","Samut Prakan",2035,34862523841.7404
"300","Samut Prakan",2036,36117574700.0431
"301","Samut Prakan",2037,37417807389.2447
"302","Samut Prakan",2038,38764848455.2575
"303","Samut Prakan",2039,40160382999.6467
"304","Samut Prakan",2040,41606156787.634
"305","Samut Prakan",2041,43103978431.9888
"306","Samut Prakan",2042,44655721655.5404
"307","Samut Prakan",2043,46263327635.1399
"308","Samut Prakan",2044,47928807430.0049
"309","Samut Prakan",2045,49654244497.4851
"310","Samut Prakan",2046,51441797299.3946
"311","Samut Prakan",2047,53293702002.1728
"312","Samut Prakan",2048,55212275274.251
"313","Samut Prakan",2049,57199917184.124
"314","Samut Prakan",2050,59259114202.7525
"315","Samut Prakan",2051,61392442314.0516
"316","Samut Prakan",2052,63602570237.3575
"317","Samut Prakan",2053,65892262765.9023
"318","Samut Prakan",2054,68264384225.4748
"319","Samut Prakan",2055,70721902057.5919
"320","Samut Prakan",2056,73267890531.6652
"321","Samut Prakan",2057,75905534590.8052
"322","Samut Prakan",2058,78638133836.0742
"323","Samut Prakan",2059,81469106654.1729
"324","Samut Prakan",2060,84401994493.7231
"325","Samut Prakan",2061,87440466295.4971
"326","Samut Prakan",2062,90588323082.135
"327","Samut Prakan",2063,93849502713.0919
"328","Samut Prakan",2064,97228084810.7632
"329","Samut Prakan",2065,100728295863.951
"330","Samut Prakan",2066,104354514515.053
"331","Samut Prakan",2067,108111277037.595
"332","Samut Prakan",2068,112003283010.948
"333","Samut Prakan",2069,116035401199.342
"334","Samut Prakan",2070,120212675642.519
"335","Samut Prakan",2071,124540331965.649
"336","Samut Prakan",2072,129023783916.413
"337","Samut Prakan",2073,133668640137.404
"338","Samut Prakan",2074,138480711182.35
"339","Samut Prakan",2075,143466016784.915
"340","Samut Prakan",2076,148630793389.172
"341","Samut Prakan",2077,153981501951.182
"342","Samut Prakan",2078,159524836021.424
"343","Samut Prakan",2079,165267730118.196
"344","Samut Prakan",2080,171217368402.451
"345","Samut Prakan",2081,177381193664.939
"346","Samut Prakan",2082,183766916636.877
"347","Samut Prakan",2083,190382525635.804
"348","Samut Prakan",2084,197236296558.693
"349","Samut Prakan",2085,204336803234.806
"350","Samut Prakan",2086,211692928151.259
"351","Samut Prakan",2087,219313873564.705
"352","Samut Prakan",2088,227209173013.034
"353","Samut Prakan",2089,235388703241.503
"354","Samut Prakan",2090,243862696558.197
"355","Samut Prakan",2091,252641753634.292
"356","Samut Prakan",2092,261736856765.127
"357","Samut Prakan",2093,271159383608.672
"358","Samut Prakan",2094,280921121418.584
"359","Samut Prakan",2095,291034281789.653
"360","Samut Prakan",2096,301511515934.08
"361","Samut Prakan",2097,312365930507.707
"362","Samut Prakan",2098,323611104005.985
"363","Samut Prakan",2099,335261103750.2
"364","Samut Prakan",2100,347330503485.207
