"","class","year","units","value"
"95","diesel",2032,"EJ",0.001324512
"96","diesel",2033,"EJ",0.001324512
"97","diesel",2034,"EJ",0.001324512
"98","diesel",2035,"EJ",0.001324512
"99","diesel",2036,"EJ",0.001324512
"100","diesel",2037,"EJ",0.001324512
"101","gas",2018,"EJ",0.5433905088
"102","gas",2019,"EJ",0.5508266976
"103","gas",2020,"EJ",0.5549894496
"104","gas",2021,"EJ",0.5799281184
"105","gas",2022,"EJ",0.5912432352
"106","gas",2023,"EJ",0.59508432
"107","gas",2024,"EJ",0.628007904
"108","gas",2025,"EJ",0.599625504
"109","gas",2026,"EJ",0.612870624
"110","gas",2027,"EJ",0.6030881568
"111","gas",2028,"EJ",0.5919433344
"112","gas",2029,"EJ",0.6051884544
"113","gas",2030,"EJ",0.6184335744
"114","gas",2031,"EJ",0.6184335744
"115","gas",2032,"EJ",0.64428048
"116","gas",2033,"EJ",0.6039017856
"117","gas",2034,"EJ",0.5904674496
"118","gas",2035,"EJ",0.5883860736
"119","gas",2036,"EJ",0.5889537216
"120","gas",2037,"EJ",0.5973927552
"121","geothermal",2018,"EJ",8.51472e-06
"122","geothermal",2019,"EJ",8.51472e-06
"123","geothermal",2020,"EJ",8.51472e-06
"124","geothermal",2021,"EJ",8.51472e-06
"125","geothermal",2022,"EJ",8.51472e-06
"126","geothermal",2023,"EJ",8.51472e-06
"127","geothermal",2024,"EJ",8.51472e-06
"128","geothermal",2025,"EJ",8.51472e-06
"129","geothermal",2026,"EJ",8.51472e-06
"130","geothermal",2027,"EJ",8.51472e-06
"131","geothermal",2028,"EJ",8.51472e-06
"132","geothermal",2029,"EJ",8.51472e-06
"133","geothermal",2030,"EJ",8.51472e-06
"134","geothermal",2031,"EJ",8.51472e-06
"135","geothermal",2032,"EJ",8.51472e-06
"136","geothermal",2033,"EJ",8.51472e-06
"137","geothermal",2034,"EJ",8.51472e-06
"138","geothermal",2035,"EJ",8.51472e-06
"139","geothermal",2036,"EJ",8.51472e-06
"140","geothermal",2037,"EJ",8.51472e-06
"141","hydro",2018,"EJ",0.10903382784
"142","hydro",2019,"EJ",0.14159916288
"143","hydro",2020,"EJ",0.14165214336
"144","hydro",2021,"EJ",0.1418993856
"145","hydro",2022,"EJ",0.15097670784
"146","hydro",2023,"EJ",0.15129459072
"147","hydro",2024,"EJ",0.15129459072
"148","hydro",2025,"EJ",0.15129459072
"149","hydro",2026,"EJ",0.16365670272
"150","hydro",2027,"EJ",0.16365670272
"151","hydro",2028,"EJ",0.17601881472
"152","hydro",2029,"EJ",0.17379363456
"153","hydro",2030,"EJ",0.17379363456
"154","hydro",2031,"EJ",0.17379363456
"155","hydro",2032,"EJ",0.18615574656
"156","hydro",2033,"EJ",0.19851785856
"157","hydro",2034,"EJ",0.19851785856
"158","hydro",2035,"EJ",0.19413813888
"159","hydro",2036,"EJ",0.19413813888
"160","hydro",2037,"EJ",0.19413813888
"161","oil",2018,"EJ",0.005960304
"162","oil",2019,"EJ",0.005960304
"163","oil",2020,"EJ",0.005960304
"164","oil",2021,"EJ",0.005960304
"165","oil",2022,"EJ",0.005960304
"166","oil",2023,"EJ",0.005960304
"167","oil",2024,"EJ",0.005960304
"168","oil",2025,"EJ",0.005960304
"169","oil",2026,"EJ",0.005960304
"170","oil",2027,"EJ",0.005960304
"171","oil",2028,"EJ",0.005960304
"172","oil",2029,"EJ",0.005960304
"173","oil",2030,"EJ",0.005960304
"174","oil",2031,"EJ",0.005960304
"175","oil",2032,"EJ",0.005960304
"176","oil",2033,"EJ",0.005960304
"177","oil",2034,"EJ",0
"178","oil",2035,"EJ",0
"179","oil",2036,"EJ",0
"180","oil",2037,"EJ",0
"181","solar",2018,"EJ",0.01460558304
"182","solar",2019,"EJ",0.01604740896
"183","solar",2020,"EJ",0.01687049856
"184","solar",2021,"EJ",0.01751761728
"185","solar",2022,"EJ",0.01806823584
"186","solar",2023,"EJ",0.01877211936
"187","solar",2024,"EJ",0.01991876832
"188","solar",2025,"EJ",0.02031612192
"189","solar",2026,"EJ",0.02293865568
"190","solar",2027,"EJ",0.02428398144
"191","solar",2028,"EJ",0.0303124032
"192","solar",2029,"EJ",0.03751017984
"193","solar",2030,"EJ",0.04499178048
"194","solar",2031,"EJ",0.05799091968
"195","solar",2032,"EJ",0.06185092608
"196","solar",2033,"EJ",0.07563341952
"197","solar",2034,"EJ",0.077058216
"198","solar",2035,"EJ",0.08285390208
"199","solar",2036,"EJ",0.08678770272
"200","solar",2037,"EJ",0.08778108672
"201","transmission line",2018,"EJ",0.0094608
"202","transmission line",2019,"EJ",0.0094608
"203","transmission line",2020,"EJ",0.0094608
"204","transmission line",2021,"EJ",0.0094608
"205","transmission line",2022,"EJ",0.0094608
"206","transmission line",2023,"EJ",0.0094608
"207","transmission line",2024,"EJ",0.0094608
"208","transmission line",2025,"EJ",0.0094608
"209","transmission line",2026,"EJ",0.0094608
"210","transmission line",2027,"EJ",0.0094608
"211","transmission line",2028,"EJ",0.0094608
"212","transmission line",2029,"EJ",0.0094608
"213","transmission line",2030,"EJ",0.0094608
"214","transmission line",2031,"EJ",0.0094608
"215","transmission line",2032,"EJ",0.0094608
"216","transmission line",2033,"EJ",0.0094608
"217","transmission line",2034,"EJ",0.0094608
"218","transmission line",2035,"EJ",0.0094608
"219","transmission line",2036,"EJ",0.0094608
"220","transmission line",2037,"EJ",0.0094608
"221","waste",2018,"EJ",0.0062693568
"222","waste",2019,"EJ",0.00717444
"223","waste",2020,"EJ",0.0084768768
"224","waste",2021,"EJ",0.0084768768
"225","waste",2022,"EJ",0.0173069568
"226","waste",2023,"EJ",0.0173069568
"227","waste",2024,"EJ",0.0173069568
"228","waste",2025,"EJ",0.0173069568
"229","waste",2026,"EJ",0.0173069568
"230","waste",2027,"EJ",0.0173069568
"231","waste",2028,"EJ",0.0173069568
"232","waste",2029,"EJ",0.0173069568
"233","waste",2030,"EJ",0.0173069568
"234","waste",2031,"EJ",0.0173069568
"235","waste",2032,"EJ",0.0173069568
"236","waste",2033,"EJ",0.0173069568
"237","waste",2034,"EJ",0.017439408
"238","waste",2035,"EJ",0.017770536
"239","waste",2036,"EJ",0.0180795888
"240","waste",2037,"EJ",0.0182782656
"241","wind",2018,"EJ",0.01194709824
"242","wind",2019,"EJ",0.01313915904
"243","wind",2020,"EJ",0.01313915904
"244","wind",2021,"EJ",0.01328044032
"245","wind",2022,"EJ",0.01328044032
"246","wind",2023,"EJ",0.01328044032
"247","wind",2024,"EJ",0.01328044032
"248","wind",2025,"EJ",0.01328044032
"249","wind",2026,"EJ",0.01328044032
"250","wind",2027,"EJ",0.01328044032
"251","wind",2028,"EJ",0.01328044032
"252","wind",2029,"EJ",0.01328044032
"253","wind",2030,"EJ",0.01328044032
"254","wind",2031,"EJ",0.01328044032
"255","wind",2032,"EJ",0.01328044032
"256","wind",2033,"EJ",0.01328044032
"257","wind",2034,"EJ",0.01504645632
"258","wind",2035,"EJ",0.01946149632
"259","wind",2036,"EJ",0.02526285888
"260","wind",2037,"EJ",0.02639310912
