building final energy by tech
scenario,region,sector,subsector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2080,2095,Units,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban lighting,electricity,elect_td_bld,bulb,0.00161981,0.0044878,0.00499399,0.0071313,0.0200635,0.0267382,0.0365176,0.045439,0.0503412,0.0508486,0.0457093,0.0391379,0.0313938,0.0228271,0.0171063,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban lighting,electricity,elect_td_bld,cfl,1.24901E-4,3.46E-4,3.85E-4,5.498E-4,0.00157682,0.00206445,0.00267886,0.00324503,0.00379366,0.0043851,0.00509703,0.0060052,0.00698064,0.00793958,0.00896145,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban lighting,electricity,elect_td_bld,led,1.41001E-5,3.91E-5,4.36E-5,6.22E-5,1.72641E-4,2.05103E-4,2.15923E-4,2.09368E-4,2.06089E-4,1.9998E-4,2.00139E-4,1.79658E-4,1.39171E-4,1.01736E-4,6.11219E-5,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban lighting,electricity,elect_td_bld,tubelight,7.13503E-4,0.0019769,0.0021998,0.0031413,0.00909025,0.0113394,0.0137366,0.0154131,0.0173067,0.0189678,0.0207831,0.0224768,0.0237803,0.0250511,0.0252635,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban lighting,refined liquids,refined liquids enduse,kerosene lamp,5.58003E-5,1.211E-4,1.314E-4,1.488E-4,1.65127E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban other appliances,electricity,elect_td_bld,other appliances,0.0019,0.0052643,0.0058581,0.0083652,0.0232527,0.0291676,0.0361074,0.0415065,0.0457612,0.0484957,0.0501052,0.0512371,0.0515298,0.0515771,0.0511364,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban refrigerators,electricity,elect_td_bld,refrigerator (hi-eff),0.0,0.0,0.0,0.0,4.09643E-4,7.51352E-4,0.0014740679999999998,0.002674747,0.004535548700000001,0.0066977037,0.009107901,0.011793752000000001,0.014100360000000001,0.015889685,0.016923197,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban refrigerators,electricity,elect_td_bld,refrigerator (lo-eff),0.00184375,0.00510781,0.00568438,0.00811719,0.02174951,0.027052680000000003,0.03255898,0.03551608,0.03596406,0.034355580000000004,0.03118419,0.026942509999999996,0.0226139,0.019069500000000003,0.0166015,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban televisions,electricity,elect_td_bld,television,0.00146641,0.00406282,0.00452098,0.00645589,0.0182608,0.0233316,0.0294156,0.0343617,0.0384645,0.0413328,0.0432701,0.0448338,0.0456714,0.0462902,0.04649,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban ventilation,electricity,elect_td_bld,ceiling fan (hi-eff),0.001132,0.0031364,0.0034902,0.0049839,0.0141046,0.0180002,0.0225396,0.0261989,0.0293648,0.0318902,0.0341965,0.0363963,0.0380808,0.0396407,0.0404994,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban ventilation,electricity,elect_td_bld,ceiling fan (lo-eff),6.096E-4,0.0016889,0.0018793,0.0026836,0.00758648,0.00974727,0.0126251,0.015013,0.0167153,0.017275,0.0164463,0.0151011,0.0133656,0.0114498,0.0101173,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban water heaters,electricity,elect_td_bld,electric water heater,1.86398E-4,5.16499E-4,5.748E-4,8.20702E-4,0.0011922209999999998,0.001296083,0.001428959,0.0015443350000000002,0.0016747109999999997,0.0017403475,0.0018271586,0.0018823698,0.0019079879999999998,0.0019289991,0.0019654895,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban water heaters,refined liquids,refined liquids enduse,LPG water heater,6.90993E-5,1.5E-4,1.627E-4,1.842E-4,7.79328E-4,0.00102352,0.0013129081999999999,0.0015506556,0.0017454528,0.0018852786999999998,0.0019724135,0.002044575,0.0020648730999999997,0.0020623067,0.0020027911,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban water heaters,solar,global solar resource,solar water heater,0.0,0.0,0.0,0.0,2.18413E-5,3.09713E-5,4.1283079999999996E-5,4.8850499999999996E-5,5.372293E-5,5.66631E-5,5.715607E-5,5.7986749999999995E-5,5.7933990000000004E-5,5.771168E-5,5.622604E-5,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,comm cooking,biomass,delivered biomass,biomass,0.0,0.0,0.0,0.0,1.18516E-4,1.37157E-4,1.61531E-4,1.82246E-4,2.01432E-4,2.1319E-4,2.24293E-4,2.33046E-4,2.40642E-4,2.4759E-4,2.50263E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,comm cooking,coal,delivered coal,coal,0.0,0.0,0.0,0.0,0.0018169,0.00198964,0.00216513,0.00239052,0.00280914,0.00314273,0.00349514,0.0037445,0.00388082,0.00397642,0.00398891,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,comm cooking,electricity,elect_td_bld,electricity,0.0,0.0,0.0,0.0,4.08207E-5,4.76534E-5,6.00687E-5,7.37107E-5,9.19297E-5,1.05423E-4,1.10367E-4,1.17443E-4,1.28281E-4,1.36632E-4,1.55916E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,comm cooking,gas,delivered gas,gas,0.0,0.0,7.0E-7,8.0006E-7,2.68895E-4,2.89921E-4,3.33587E-4,3.66734E-4,4.12484E-4,4.48829E-4,4.65169E-4,4.84505E-4,5.09053E-4,5.25435E-4,5.27689E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,comm cooking,refined liquids,refined liquids enduse,refined liquids,2.2175E-4,3.72E-4,8.268E-4,6.6045E-4,3.94649E-5,4.57581E-5,5.35534E-5,6.22411E-5,7.5446E-5,8.60665E-5,9.58507E-5,1.02653E-4,1.06284E-4,1.09217E-4,1.08248E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,comm hvac,electricity,elect_td_bld,electricity,3.40208E-4,0.00114521,0.001625,0.00193261,0.0023232080000000002,0.002511558,0.0027761570000000005,0.003026592,0.003434998,0.0037095339,0.0039293348999999995,0.0041178788000000004,0.004251391,0.004320936000000001,0.004315534,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,comm lighting,electricity,elect_td_bld,electricity,1.54703E-4,5.206E-4,7.38602E-4,8.78503E-4,0.00109512,0.00120672,0.00137142,0.00153751,0.00182436,0.00205296,0.00223899,0.00239475,0.00252319,0.00262091,0.00265038,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,comm others,electricity,elect_td_bld,electricity,1.237E-4,4.164E-4,5.909E-4,7.028E-4,8.48789E-4,9.297E-4,0.00104386,0.00116055,0.00134521,0.00148705,0.00159934,0.00168836,0.00175669,0.00180239,0.00182682,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural air conditioners,electricity,elect_td_bld,air conditioner (hi-eff),4.60274E-6,1.55055E-5,2.11945E-5,3.21982E-5,4.4663299999999996E-5,4.580666E-5,4.768660999999999E-5,4.901118E-5,5.1824159999999995E-5,5.212409E-5,5.166127E-5,5.1668899999999996E-5,5.1619520000000004E-5,5.119588E-5,4.917492E-5,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural air conditioners,electricity,elect_td_bld,air conditioner (lo-eff),1.57094E-5,5.33187E-5,7.27813E-5,1.10994E-4,1.531243E-4,1.5708339999999997E-4,1.649043E-4,1.7190440000000001E-4,1.832464E-4,1.8145579E-4,1.7254163999999998E-4,1.6023792E-4,1.4390374E-4,1.2669372E-4,1.1089765E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural cooking,biomass,delivered biomass,biomass,0.00184159,0.00165916,0.00216259,0.00235255,1.30625E-4,1.52727E-4,1.81168E-4,2.01578E-4,2.1311E-4,2.10276E-4,2.03022E-4,1.94127E-4,1.82818E-4,1.716E-4,1.58089E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural cooking,coal,delivered coal,coal,0.0,0.0,0.0,0.0,0.00200253,0.00221551,0.00242835,0.00264409,0.00297199,0.00309977,0.00316366,0.00311917,0.0029483,0.00275599,0.00251976,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural cooking,electricity,elect_td_bld,electricity,8.00168E-7,2.59963E-6,3.5003E-6,5.39873E-6,4.49914E-5,5.30631E-5,6.73714E-5,8.15295E-5,9.72589E-5,1.03982E-4,9.99E-5,9.78298E-5,9.74568E-5,9.46972E-5,9.84908E-5,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural cooking,gas,delivered gas,gas,0.0,0.0,0.0,0.0,2.96369E-4,3.22833E-4,3.74142E-4,4.05636E-4,4.36396E-4,4.42694E-4,4.21053E-4,4.03592E-4,3.86733E-4,3.6417E-4,3.33337E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural cooking,refined liquids,refined liquids enduse,refined liquids,7.74162E-5,2.05571E-4,2.73924E-4,3.30522E-4,4.34971E-5,5.09526E-5,6.0064E-5,6.88433E-5,7.98198E-5,8.489E-5,8.67603E-5,8.55102E-5,8.07449E-5,7.56967E-5,6.83794E-5,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural cooking,traditional biomass,traditional biomass,traditional biomass,0.00146991,0.00158258,0.00191617,0.00232195,0.00307625,0.002866,0.00264172,0.00249311,0.00248361,0.00236696,0.00221715,0.00206569,0.00190425,0.00175031,0.00159556,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural lighting,electricity,elect_td_bld,bulb,4.03041E-5,1.36497E-4,1.86496E-4,2.84004E-4,3.26365E-4,3.53547E-4,4.05828E-4,4.57286E-4,4.95784E-4,4.77099E-4,4.02996E-4,3.23159E-4,2.41993E-4,1.63325E-4,1.13346E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural lighting,electricity,elect_td_bld,cfl,3.10031E-6,1.04998E-5,1.43997E-5,2.19003E-5,2.56547E-5,2.73027E-5,2.97764E-5,3.26631E-5,3.73679E-5,4.11501E-5,4.4943E-5,4.95886E-5,5.38117E-5,5.68085E-5,5.93796E-5,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural lighting,electricity,elect_td_bld,led,4.0004E-7,1.19997E-6,1.59997E-6,2.50003E-6,2.83425E-6,2.73706E-6,2.42177E-6,2.12647E-6,2.04835E-6,1.89358E-6,1.7806E-6,1.49678E-6,1.08223E-6,7.34091E-7,4.08218E-7,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural lighting,electricity,elect_td_bld,tubelight,1.77018E-5,6.00986E-5,8.21985E-5,1.25102E-4,1.47867E-4,1.49935E-4,1.52657E-4,1.55113E-4,1.70444E-4,1.7797E-4,1.83234E-4,1.85589E-4,1.83305E-4,1.79237E-4,1.67395E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural lighting,refined liquids,refined liquids enduse,kerosene lamp,1.44015E-5,3.81991E-5,5.0899E-5,6.14009E-5,2.78309E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural other appliances,electricity,elect_td_bld,other appliances,4.72E-5,1.601E-4,2.188E-4,3.332E-4,3.79053E-4,3.88234E-4,4.0557E-4,4.22083E-4,4.52121E-4,4.54539E-4,4.41083E-4,4.22677E-4,3.97071E-4,3.68999E-4,3.38826E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural refrigerators,electricity,elect_td_bld,refrigerator (hi-eff),0.0,0.0,0.0,0.0,8.0926E-7,1.805842E-6,4.0509879999999995E-6,7.667989E-6,1.4371963E-5,1.896222E-5,2.3938267E-5,2.9364491999999998E-5,3.315057E-5,3.4919520000000005E-5,3.447139E-5,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural refrigerators,electricity,elect_td_bld,refrigerator (lo-eff),1.40625E-5,4.84375E-5,6.5625E-5,1.0E-4,1.121765E-4,1.141137E-4,1.155063E-4,1.134322E-4,1.0868138000000001E-4,1.0061195000000002E-4,8.683287999999999E-5,7.037328E-5,5.4933970000000004E-5,4.2791569999999997E-5,3.459973E-5,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural televisions,electricity,elect_td_bld,television,2.57719E-5,8.72716E-5,1.19282E-4,1.81727E-4,2.09522E-4,2.17603E-4,2.31309E-4,2.44957E-4,2.67703E-4,2.73702E-4,2.6933E-4,2.61537E-4,2.48828E-4,2.34111E-4,2.17726E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural ventilation,electricity,elect_td_bld,ceiling fan (hi-eff),2.49003E-5,8.4501E-5,1.15499E-4,1.75899E-4,2.02919E-4,2.10539E-4,2.22398E-4,2.3444E-4,2.56416E-4,2.64792E-4,2.66832E-4,2.66139E-4,2.60066E-4,2.51318E-4,2.37778E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural ventilation,electricity,elect_td_bld,ceiling fan (lo-eff),1.34002E-5,4.55006E-5,6.21997E-5,9.46996E-5,1.09128E-4,1.13992E-4,1.24553E-4,1.34324E-4,1.45938E-4,1.43418E-4,1.28312E-4,1.1041E-4,9.12676E-5,7.25835E-5,5.93956E-5,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural water heaters,electricity,elect_td_bld,electric water heater,7.8009E-6,2.64983E-5,3.62021E-5,5.50993E-5,5.587099E-5,5.118876E-5,4.5740190000000006E-5,4.094261E-5,3.957305E-5,3.5383680000000003E-5,3.4977837E-5,3.370952E-5,3.190497E-5,2.989125E-5,2.8178920000000004E-5,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural water heaters,refined liquids,refined liquids enduse,LPG water heater,4.60053E-6,1.22992E-5,1.6301E-5,1.96997E-5,2.86263E-5,2.9706209999999998E-5,3.1657729999999995E-5,3.372047E-5,3.7022119999999994E-5,3.818994000000001E-5,3.7602227000000005E-5,3.6435529999999996E-5,3.4417149999999996E-5,3.193871E-5,2.8865400000000003E-5,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid rural water heaters,solar,global solar resource,solar water heater,0.0,0.0,0.0,0.0,4.25298E-7,5.56435E-7,7.38324E-7,9.02389E-7,1.0513865999999999E-6,1.1424331E-6,1.0908900000000002E-6,1.036834E-6,9.67925E-7,8.944435999999999E-7,8.100128E-7,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban air conditioners,electricity,elect_td_bld,air conditioner (hi-eff),4.60274E-6,1.55055E-5,2.12009E-5,3.21982E-5,4.97304E-5,5.70431E-5,6.87574E-5,8.083221999999999E-5,1.0372811E-4,1.2777638E-4,1.5237226E-4,1.7948698E-4,2.0784951999999998E-4,2.345755E-4,2.5296428E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban air conditioners,electricity,elect_td_bld,air conditioner (lo-eff),1.57094E-5,5.33187E-5,7.29031E-5,1.10994E-4,1.703525E-4,1.95577E-4,2.386944E-4,2.851928E-4,3.6809790000000005E-4,4.425281E-4,4.9700973E-4,5.353118000000001E-4,5.564737000000001E-4,5.629472999999999E-4,5.602184E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban cooking,biomass,delivered biomass,biomass,2.53901E-4,2.28705E-4,2.98066E-4,3.24358E-4,1.29866E-4,1.70671E-4,2.36953E-4,3.04334E-4,3.93239E-4,4.76169E-4,5.50097E-4,6.12638E-4,6.67738E-4,7.16131E-4,7.47976E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban cooking,coal,delivered coal,coal,0.0,0.0,0.0,0.0,0.0019909,0.0024758,0.00317609,0.00399194,0.00548403,0.0070194,0.00857209,0.00984367,0.0107686,0.0115014,0.0119219,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban cooking,electricity,elect_td_bld,electricity,2.0008E-7,8.00017E-7,1.09987E-6,1.59979E-6,4.47301E-5,5.92974E-5,8.81164E-5,1.2309E-4,1.79466E-4,2.35465E-4,2.70684E-4,3.08738E-4,3.55958E-4,3.95195E-4,4.65995E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban cooking,gas,delivered gas,gas,0.0,0.0,0.0,0.0,2.94647E-4,3.60762E-4,4.89348E-4,6.12413E-4,8.05256E-4,0.00100248,0.00114086,0.00127368,0.00141253,0.00151977,0.00157714,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban cooking,refined liquids,refined liquids enduse,refined liquids,2.23989E-4,5.95313E-4,7.92709E-4,9.56976E-4,4.32445E-5,5.69389E-5,7.85589E-5,1.03937E-4,1.47287E-4,1.92233E-4,2.35081E-4,2.69859E-4,2.94918E-4,3.15901E-4,3.23528E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban cooking,traditional biomass,traditional biomass,traditional biomass,2.02681E-4,2.18205E-4,2.6407E-4,3.20059E-4,0.00305838,0.00320272,0.00345515,0.00376401,0.00458286,0.00535996,0.00600746,0.00651904,0.00695521,0.00730448,0.00754916,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban lighting,electricity,elect_td_bld,bulb,2.91013E-5,9.86996E-5,1.34899E-4,2.05401E-4,3.16013E-4,3.84328E-4,5.18104E-4,6.74492E-4,8.93173E-4,0.00105351,0.00106376,9.92926E-4,8.60358E-4,6.63413E-4,5.21955E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban lighting,electricity,elect_td_bld,cfl,2.2001E-6,7.59997E-6,1.03999E-5,1.58001E-5,2.47815E-5,2.961E-5,3.79282E-5,4.80752E-5,6.71907E-5,9.07194E-5,1.18486E-4,1.52235E-4,1.91222E-4,2.30701E-4,2.73431E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban lighting,electricity,elect_td_bld,led,3.00013E-7,8.99997E-7,1.19999E-6,1.80001E-6,2.73206E-6,2.96204E-6,3.07794E-6,3.12252E-6,3.67374E-6,4.16277E-6,4.67942E-6,4.57894E-6,3.83127E-6,2.96962E-6,1.87264E-6,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban lighting,electricity,elect_td_bld,tubelight,1.28006E-5,4.34998E-5,5.93997E-5,9.05006E-5,1.43213E-4,1.63029E-4,1.9494E-4,2.28847E-4,3.07138E-4,3.93086E-4,4.83791E-4,5.70378E-4,6.51868E-4,7.28229E-4,7.7104E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban lighting,refined liquids,refined liquids enduse,kerosene lamp,1.50007E-6,3.99998E-6,5.29997E-6,6.40004E-6,3.88381E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban other appliances,electricity,elect_td_bld,other appliances,3.42E-5,1.158E-4,1.582E-4,2.41E-4,3.67079E-4,4.22692E-4,5.16797E-4,6.20707E-4,8.12412E-4,0.0010022,0.00116364,0.00129874,0.00141205,0.00149932,0.00156084,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban refrigerators,electricity,elect_td_bld,refrigerator (hi-eff),0.0,0.0,0.0,0.0,4.21428E-6,8.74217E-6,2.010251E-5,4.061108E-5,8.693686500000001E-5,1.46393107E-4,2.2024228E-4,3.0564750999999995E-4,3.9110875E-4,4.649195E-4,5.178243E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban refrigerators,electricity,elect_td_bld,refrigerator (lo-eff),3.28125E-5,1.125E-4,1.53906E-4,2.33594E-4,3.4746500000000004E-4,3.9608799999999995E-4,4.673648E-4,5.286726E-4,6.223245E-4,6.904949E-4,7.031475E-4,6.662879000000001E-4,6.070987E-4,5.45171E-4,5.011898E-4,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban televisions,electricity,elect_td_bld,television,2.6402E-5,8.9414E-5,1.22117E-4,1.86011E-4,2.87908E-4,3.36688E-4,4.19255E-4,5.12175E-4,6.82771E-4,8.55296E-4,0.00100626,0.00113757,0.00125236,0.00134622,0.0014194,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Nonthaburi,resid urban ventilation,electricity,elect_td_bld,ceiling fan (hi-eff),2.03E-5,6.89999E-5,9.41994E-5,1.436E-4,2.22384E-4,2.59786E-4,3.21371E-4,3.90704E-4,5.21276E-4,6.59669E-4,7.94915E-4,9.23134E-4,0.00104389,0.00115257,0.0012363,0.0,0.0,EJ,
