Units,scenario,region,sector,subsector,technology,input,year,value
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2055,0.0516836
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2060,0.0538789
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2065,0.0553372
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2070,0.0563459
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2075,0.0567748
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2080,0.0566674
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2085,0.0564735
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2090,0.0561031
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2095,0.0555833
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2100,0.0551938
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,1990,3.20995e-05
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2005,0.0001539
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2010,0.0002004
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2015,0.0001608
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2020,0.000163064
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2025,0.000182081
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2030,0.000195625
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2035,0.000201573
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2040,0.000204605
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2045,0.000208436
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2050,0.000216639
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2055,0.000224261
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2060,0.000223823
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2065,0.000222842
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2070,0.000210685
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2075,0.00020488
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2080,0.000216797
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2085,0.000219441
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2090,0.000211934
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2095,0.000196961
EJ,Ref_cities,KualaLumpur,comm others,gas,gas,delivered gas,2100,0.00017892
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,1990,0.00160498
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2005,0.00505859
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2010,0.00832469
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2015,0.00523861
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2020,0.00421355
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2025,0.00432503
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2030,0.00409416
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2035,0.00379077
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2040,0.0035171
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2045,0.00324714
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2050,0.00314059
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2055,0.00298214
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2060,0.00269328
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2065,0.00246256
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2070,0.00213455
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2075,0.00190114
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2080,0.00185825
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2085,0.00176112
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2090,0.00162155
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2095,0.00144029
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,refined liquids,refined liquids enduse,2100,0.0012548
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,1990,0.00160744
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2005,0.00604697
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2010,0.00931733
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2015,0.0120923
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2020,0.0135678
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2025,0.0158243
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2030,0.0182154
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2035,0.0204438
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2040,0.022368
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2045,0.0236894
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2050,0.0244176
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2055,0.0246691
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2060,0.0244977
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2065,0.0239756
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2070,0.0232795
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2075,0.0224207
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2080,0.0214183
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2085,0.0204418
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2090,0.019441
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2095,0.0184076
EJ,Ref_cities,KualaLumpur,resid cooling,electricity,electricity,elect_td_bld,2100,0.0176151
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,1990,0.00180409
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2005,0.0014319
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2010,0.000968804
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2015,6.70004e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2020,7.248e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2025,7.59218e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2030,7.36389e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2035,6.75869e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2040,5.84522e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2045,5.09781e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2050,4.69634e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2055,4.32243e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2060,3.86222e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2065,3.49469e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2070,3.04106e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2075,2.70672e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2080,2.61487e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2085,2.45795e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2090,2.24905e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2095,1.99732e-06
EJ,Ref_cities,KualaLumpur,resid others,biomass,biomass,delivered biomass,2100,1.74e-06
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,1990,0.000628698
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2005,0.002365
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2010,0.00364401
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2015,0.00472933
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2020,0.00644152
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2025,0.00830001
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2030,0.0106592
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2035,0.0132164
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2040,0.0157073
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2045,0.0179196
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2050,0.0196604
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2055,0.0211203
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2060,0.0223167
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2065,0.0231581
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2070,0.0238281
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2075,0.024199
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2080,0.0242554
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2085,0.0242869
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2090,0.0242477
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2095,0.0241489
EJ,Ref_cities,KualaLumpur,resid others,electricity,electricity,elect_td_bld,2100,0.024101
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,1990,1.92999e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2005,3.35e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2010,4.01002e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2015,6.70004e-06
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2020,7.55783e-06
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2025,8.96354e-06
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2030,1.02386e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2035,1.10835e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2040,1.16669e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2045,1.22108e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2050,1.29118e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2055,1.35579e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2060,1.37151e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2065,1.37962e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2070,1.31779e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2075,1.29159e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2080,1.37308e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2085,1.39658e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2090,1.35523e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2095,1.26556e-05
EJ,Ref_cities,KualaLumpur,resid others,gas,gas,delivered gas,2100,1.15474e-05
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,1990,0.00307519
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2005,0.00524591
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2010,0.00475702
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2015,0.00451513
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2020,0.00403758
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2025,0.00440061
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2030,0.00442587
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2035,0.00430292
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2040,0.004139
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2045,0.00392479
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2050,0.00386164
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2055,0.00371882
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2060,0.003403
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2065,0.00314274
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2070,0.00275138
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2075,0.00246891
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2080,0.00242365
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2085,0.00230782
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2090,0.00213527
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2095,0.00190601
EJ,Ref_cities,KualaLumpur,resid others,refined liquids,refined liquids,refined liquids enduse,2100,0.00166844
EJ,Ref_cities,KualaLumpur,resid others,traditional biomass,traditional biomass,traditional biomass,1990,0.00141239
EJ,Ref_cities,KualaLumpur,resid others,traditional biomass,traditional biomass,traditional biomass,2005,0.0002342
EJ,Ref_cities,KualaLumpur,resid others,traditional biomass,traditional biomass,traditional biomass,2010,0.000153701
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,1990,0.00622235
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2005,0.0224235
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2010,0.0346601
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2015,0.0426335
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2020,0.048784
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2025,0.0542999
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2030,0.0609476
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2035,0.0673597
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2040,0.0726564
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2045,0.0759139
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2050,0.0770254
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2055,0.0768376
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2060,0.0755646
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2065,0.0735248
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2070,0.0711978
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2075,0.068558
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2080,0.0656176
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2085,0.0629948
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2090,0.0604449
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2095,0.0579686
EJ,Ref_cities,Rest of Malaysia,comm cooling,electricity,electricity,elect_td_bld,2100,0.056124
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,1990,0.0128799
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2005,0.0464152
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2010,0.0717441
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2015,0.0882486
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2020,0.115873
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2025,0.141025
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2030,0.175886
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2035,0.215524
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2040,0.254208
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2045,0.287582
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2050,0.311684
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2055,0.330649
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2060,0.346096
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2065,0.356659
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2070,0.3659
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2075,0.371352
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2080,0.372478
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2085,0.374718
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2090,0.37689
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2095,0.378976
EJ,Ref_cities,Rest of Malaysia,comm others,electricity,electricity,elect_td_bld,2100,0.382344
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,1990,0.0001772
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2005,0.0008089
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2010,0.0010554
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2015,0.0008438
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2020,0.000917812
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2025,0.00102827
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2030,0.00114068
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2035,0.00122058
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2040,0.00127554
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2045,0.00132409
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2050,0.00138327
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2055,0.00143441
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2060,0.00143743
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2065,0.00143594
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2070,0.00136785
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2075,0.00133978
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2080,0.0014247
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2085,0.00145573
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2090,0.00142341
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2095,0.00134261
EJ,Ref_cities,Rest of Malaysia,comm others,gas,gas,delivered gas,2100,0.00123916
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,1990,0.00885999
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2005,0.0265876
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2010,0.0438329
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2015,0.0274959
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2020,0.0239664
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2025,0.0260517
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2030,0.0267699
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2035,0.0269751
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2040,0.0269644
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2045,0.0265359
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2050,0.0270119
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2055,0.0268764
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2060,0.0254489
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2065,0.0243214
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2070,0.0220734
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2075,0.0205256
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2080,0.0208764
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2085,0.02067
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2090,0.0199647
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2095,0.0186526
EJ,Ref_cities,Rest of Malaysia,comm others,refined liquids,refined liquids,refined liquids enduse,2100,0.017123
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,1990,0.0088732
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2005,0.0317825
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2010,0.0490594
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2015,0.0634684
EJ,Ref_cities,Rest of Malaysia,resid cooling,electricity,electricity,elect_td_bld,2020,0.0719859
