scenario,region,year,value,param
Local data BAU,Malaysia,2056,41.346675,Population (Millions)
Local data BAU,Malaysia,2057,41.455194,Population (Millions)
Local data BAU,Malaysia,2058,41.555888,Population (Millions)
Local data BAU,Malaysia,2059,41.648244,Population (Millions)
Local data BAU,Malaysia,2060,41.731877,Population (Millions)
Local data BAU,Malaysia,2061,41.806614,Population (Millions)
Local data BAU,Malaysia,2062,41.872362,Population (Millions)
Local data BAU,Malaysia,2063,41.928871,Population (Millions)
Local data BAU,Malaysia,2064,41.9759,Population (Millions)
Local data BAU,Malaysia,2065,42.013361,Population (Millions)
Local data BAU,Malaysia,2066,42.041225,Population (Millions)
Local data BAU,Malaysia,2067,42.059669,Population (Millions)
Local data BAU,Malaysia,2068,42.068988,Population (Millions)
Local data BAU,Malaysia,2069,42.069605,Population (Millions)
Local data BAU,Malaysia,2070,42.061944,Population (Millions)
Local data BAU,Malaysia,2071,42.046292,Population (Millions)
Local data BAU,Malaysia,2072,42.022971,Population (Millions)
Local data BAU,Malaysia,2073,41.992517,Population (Millions)
Local data BAU,Malaysia,2074,41.955499,Population (Millions)
Local data BAU,Malaysia,2075,41.912491,Population (Millions)
Local data BAU,Malaysia,2076,41.863892,Population (Millions)
Local data BAU,Malaysia,2077,41.810176,Population (Millions)
Local data BAU,Malaysia,2078,41.752,Population (Millions)
Local data BAU,Malaysia,2079,41.690087,Population (Millions)
Local data BAU,Malaysia,2080,41.625092,Population (Millions)
Local data BAU,Malaysia,2081,41.557426,Population (Millions)
Local data BAU,Malaysia,2082,41.487446,Population (Millions)
Local data BAU,Malaysia,2083,41.415604,Population (Millions)
Local data BAU,Malaysia,2084,41.342328,Population (Millions)
Local data BAU,Malaysia,2085,41.267997,Population (Millions)
Local data BAU,Malaysia,2086,41.192896,Population (Millions)
Local data BAU,Malaysia,2087,41.117199,Population (Millions)
Local data BAU,Malaysia,2088,41.040987,Population (Millions)
Local data BAU,Malaysia,2089,40.964235,Population (Millions)
Local data BAU,Malaysia,2090,40.886939,Population (Millions)
Local data BAU,Malaysia,2091,40.809104,Population (Millions)
Local data BAU,Malaysia,2092,40.730761,Population (Millions)
Local data BAU,Malaysia,2093,40.651951,Population (Millions)
Local data BAU,Malaysia,2094,40.572639,Population (Millions)
Local data BAU,Malaysia,2095,40.492785,Population (Millions)
Local data BAU,Malaysia,2096,40.412247,Population (Millions)
Local data BAU,Malaysia,2097,40.330825,Population (Millions)
Local data BAU,Malaysia,2098,40.248246,Population (Millions)
Local data BAU,Malaysia,2099,40.16417,Population (Millions)
Local data BAU,Malaysia,2100,40.078168,Population (Millions)
Local data BAU,KualaLumpur,1970,1.249777585,Population (Millions)
Local data BAU,KualaLumpur,1971,1.286371775,Population (Millions)
Local data BAU,KualaLumpur,1972,1.323544113,Population (Millions)
Local data BAU,KualaLumpur,1973,1.360916227,Population (Millions)
Local data BAU,KualaLumpur,1974,1.398003721,Population (Millions)
Local data BAU,KualaLumpur,1975,1.434442184,Population (Millions)
Local data BAU,KualaLumpur,1976,1.470083613,Population (Millions)
Local data BAU,KualaLumpur,1977,1.504954844,Population (Millions)
Local data BAU,KualaLumpur,1978,1.539089929,Population (Millions)
Local data BAU,KualaLumpur,1979,1.572595905,Population (Millions)
Local data BAU,KualaLumpur,1980,1.605564732,Population (Millions)
Local data BAU,KualaLumpur,1981,1.637806901,Population (Millions)
Local data BAU,KualaLumpur,1982,1.669274296,Population (Millions)
Local data BAU,KualaLumpur,1983,1.700362404,Population (Millions)
Local data BAU,KualaLumpur,1984,1.731613931,Population (Millions)
Local data BAU,KualaLumpur,1985,1.763329588,Population (Millions)
Local data BAU,KualaLumpur,1986,1.795901711,Population (Millions)
Local data BAU,KualaLumpur,1987,1.828996346,Population (Millions)
Local data BAU,KualaLumpur,1988,1.861322849,Population (Millions)
Local data BAU,KualaLumpur,1989,1.891114045,Population (Millions)
Local data BAU,KualaLumpur,1990,1.917205098,Population (Millions)
Local data BAU,KualaLumpur,1991,1.938996987,Population (Millions)
Local data BAU,KualaLumpur,1992,1.957144877,Population (Millions)
Local data BAU,KualaLumpur,1993,1.976610687,Population (Millions)
Local data BAU,KualaLumpur,1994,1.98069464,Population (Millions)
Local data BAU,KualaLumpur,1995,1.975912294,Population (Millions)
Local data BAU,KualaLumpur,1996,1.98095605,Population (Millions)
Local data BAU,KualaLumpur,1997,1.987982195,Population (Millions)
Local data BAU,KualaLumpur,1998,2.003243638,Population (Millions)
Local data BAU,KualaLumpur,1999,2.008457649,Population (Millions)
Local data BAU,KualaLumpur,2000,2.014799942,Population (Millions)
Local data BAU,KualaLumpur,2001,2.031053111,Population (Millions)
Local data BAU,KualaLumpur,2002,2.050900401,Population (Millions)
Local data BAU,KualaLumpur,2003,2.073054269,Population (Millions)
Local data BAU,KualaLumpur,2004,1.997398981,Population (Millions)
Local data BAU,KualaLumpur,2005,2.007200256,Population (Millions)
Local data BAU,KualaLumpur,2006,2.020325374,Population (Millions)
Local data BAU,KualaLumpur,2007,2.027522127,Population (Millions)
Local data BAU,KualaLumpur,2008,2.025619191,Population (Millions)
Local data BAU,KualaLumpur,2009,2.022679482,Population (Millions)
Local data BAU,KualaLumpur,2010,2.022253494,Population (Millions)
Local data BAU,KualaLumpur,2011,2.012835998,Population (Millions)
Local data BAU,KualaLumpur,2012,2.012380925,Population (Millions)
Local data BAU,KualaLumpur,2013,2.016882709,Population (Millions)
Local data BAU,KualaLumpur,2014,2.019022226,Population (Millions)
Local data BAU,KualaLumpur,2015,2.020485341,Population (Millions)
Local data BAU,KualaLumpur,2016,2.017022458,Population (Millions)
Local data BAU,KualaLumpur,2017,2.015521746,Population (Millions)
Local data BAU,KualaLumpur,2018,2.013476222,Population (Millions)
Local data BAU,KualaLumpur,2019,2.009793074,Population (Millions)
Local data BAU,KualaLumpur,2020,1.982112,Population (Millions)
Local data BAU,KualaLumpur,2021,1.960749455,Population (Millions)
Local data BAU,KualaLumpur,2022,1.967444248,Population (Millions)
Local data BAU,KualaLumpur,2023,1.972802424,Population (Millions)
Local data BAU,KualaLumpur,2024,1.97682051,Population (Millions)
Local data BAU,KualaLumpur,2025,1.979582272,Population (Millions)
Local data BAU,KualaLumpur,2026,1.981108778,Population (Millions)
Local data BAU,KualaLumpur,2027,1.981443727,Population (Millions)
Local data BAU,KualaLumpur,2028,1.980638854,Population (Millions)
Local data BAU,KualaLumpur,2029,1.978754277,Population (Millions)
Local data BAU,KualaLumpur,2030,1.975857188,Population (Millions)
Local data BAU,KualaLumpur,2031,1.972017052,Population (Millions)
Local data BAU,KualaLumpur,2032,1.967300366,Population (Millions)
Local data BAU,KualaLumpur,2033,1.961765549,Population (Millions)
Local data BAU,KualaLumpur,2034,1.955458157,Population (Millions)
Local data BAU,KualaLumpur,2035,1.94840568,Population (Millions)
Local data BAU,KualaLumpur,2036,1.940614995,Population (Millions)
Local data BAU,KualaLumpur,2037,1.932075875,Population (Millions)
Local data BAU,KualaLumpur,2038,1.922766182,Population (Millions)
Local data BAU,KualaLumpur,2039,1.91265833,Population (Millions)
Local data BAU,KualaLumpur,2040,1.901725754,Population (Millions)
Local data BAU,KualaLumpur,2041,1.893621312,Population (Millions)
Local data BAU,KualaLumpur,2042,1.885551412,Population (Millions)
Local data BAU,KualaLumpur,2043,1.877515898,Population (Millions)
Local data BAU,KualaLumpur,2044,1.869514631,Population (Millions)
Local data BAU,KualaLumpur,2045,1.861233538,Population (Millions)
Local data BAU,KualaLumpur,2046,1.852514251,Population (Millions)
Local data BAU,KualaLumpur,2047,1.843372073,Population (Millions)
Local data BAU,KualaLumpur,2048,1.833825863,Population (Millions)
Local data BAU,KualaLumpur,2049,1.823897242,Population (Millions)
Local data BAU,KualaLumpur,2050,1.813608705,Population (Millions)
Local data BAU,KualaLumpur,2051,1.802981296,Population (Millions)
Local data BAU,KualaLumpur,2052,1.792039327,Population (Millions)
Local data BAU,KualaLumpur,2053,1.780811208,Population (Millions)
Local data BAU,KualaLumpur,2054,1.769328021,Population (Millions)
Local data BAU,KualaLumpur,2055,1.757620596,Population (Millions)
Local data BAU,KualaLumpur,2056,1.745713219,Population (Millions)
Local data BAU,KualaLumpur,2057,1.73363279,Population (Millions)
Local data BAU,KualaLumpur,2058,1.7214185,Population (Millions)
Local data BAU,KualaLumpur,2059,1.709110861,Population (Millions)
Local data BAU,KualaLumpur,2060,1.696747226,Population (Millions)
Local data BAU,KualaLumpur,2061,1.684354407,Population (Millions)
Local data BAU,KualaLumpur,2062,1.671952515,Population (Millions)
Local data BAU,KualaLumpur,2063,1.659565335,Population (Millions)
Local data BAU,KualaLumpur,2064,1.64721325,Population (Millions)
Local data BAU,KualaLumpur,2065,1.634915155,Population (Millions)
Local data BAU,KualaLumpur,2066,1.622687305,Population (Millions)
Local data BAU,KualaLumpur,2067,1.610545074,Population (Millions)
Local data BAU,KualaLumpur,2068,1.59850579,Population (Millions)
Local data BAU,KualaLumpur,2069,1.586586612,Population (Millions)
Local data BAU,KualaLumpur,2070,1.574801161,Population (Millions)
Local data BAU,KualaLumpur,2071,1.563157159,Population (Millions)
Local data BAU,KualaLumpur,2072,1.551656149,Population (Millions)
Local data BAU,KualaLumpur,2073,1.540292551,Population (Millions)
Local data BAU,KualaLumpur,2074,1.529054532,Population (Millions)
Local data BAU,KualaLumpur,2075,1.517931835,Population (Millions)
Local data BAU,KualaLumpur,2076,1.506923336,Population (Millions)
Local data BAU,KualaLumpur,2077,1.496026608,Population (Millions)
Local data BAU,KualaLumpur,2078,1.485227467,Population (Millions)
Local data BAU,KualaLumpur,2079,1.474507671,Population (Millions)
Local data BAU,KualaLumpur,2080,1.46385342,Population (Millions)
Local data BAU,KualaLumpur,2081,1.453259292,Population (Millions)
Local data BAU,KualaLumpur,2082,1.442724651,Population (Millions)
Local data BAU,KualaLumpur,2083,1.432244168,Population (Millions)
Local data BAU,KualaLumpur,2084,1.421812998,Population (Millions)
Local data BAU,KualaLumpur,2085,1.411429576,Population (Millions)
Local data BAU,KualaLumpur,2086,1.401093734,Population (Millions)
Local data BAU,KualaLumpur,2087,1.390809049,Population (Millions)
Local data BAU,KualaLumpur,2088,1.380578434,Population (Millions)
Local data BAU,KualaLumpur,2089,1.37040767,Population (Millions)
Local data BAU,KualaLumpur,2090,1.360304401,Population (Millions)
Local data BAU,KualaLumpur,2091,1.350276299,Population (Millions)
Local data BAU,KualaLumpur,2092,1.34033365,Population (Millions)
Local data BAU,KualaLumpur,2093,1.330488336,Population (Millions)
Local data BAU,KualaLumpur,2094,1.320753257,Population (Millions)
Local data BAU,KualaLumpur,2095,1.311142663,Population (Millions)
Local data BAU,KualaLumpur,2096,1.301674119,Population (Millions)
Local data BAU,KualaLumpur,2097,1.292364359,Population (Millions)
Local data BAU,KualaLumpur,2098,1.283234336,Population (Millions)
Local data BAU,KualaLumpur,2099,1.274304567,Population (Millions)
Local data BAU,KualaLumpur,2100,1.265598759,Population (Millions)
