scenario,region,year,value,param
Local data BAU,Malaysia,2012,172.4454879,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2013,180.5396202,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2014,191.3841227,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2015,201.0069157,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2020,293.5854913,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2025,343.1842197,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2030,404.3401783,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2035,475.4894229,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2040,552.106063,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2045,628.6230817,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2050,701.3942987,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2055,768.4449781,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2060,829.732103,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2065,885.8343526,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2070,937.4998857,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2075,986.6727391,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2080,1037.516431,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2085,1092.55228,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2090,1151.756492,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2095,1214.069341,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2100,1278.738218,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1970,2.376065708,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1971,2.353282206,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1972,2.501137602,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1973,3.143841556,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1974,3.647057872,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1975,3.625329591,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1976,3.922115118,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1977,4.300565478,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1978,4.877232321,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1979,5.136858466,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1980,5.569507664,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1981,5.486403641,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1982,5.424430375,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1983,5.710812281,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1984,5.756767591,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1985,5.191728598,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1986,5.637974277,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1987,6.446622769,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1988,7.600513141,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1989,8.571679255,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1990,9.763899647,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1991,10.87664421,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1992,12.06512749,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1993,13.62840115,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1994,15.18677503,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1995,17.1231115,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1996,17.86950086,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1997,13.79269418,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1998,9.946150288,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,1999,11.06716591,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2000,11.02959298,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2001,10.48042826,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2002,11.13145675,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2003,12.04657332,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2004,13.24914159,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2005,13.95466596,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2006,15.27835304,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2007,18.25680413,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2008,18.21293196,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2009,17.33943494,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2010,19.70415984,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2011,21.69582946,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2012,22.80927363,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2013,24.51248816,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2014,24.18162086,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2015,24.12013616,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2016,24.81482475,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2017,26.86151314,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2018,29.37331773,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2019,31.67567628,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2020,28.6677919,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2021,27.86716386,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2022,29.19417167,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2023,29.85767558,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2024,30.52117948,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2025,31.18468338,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2026,31.84818728,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2027,32.51169118,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2028,33.17519509,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2029,33.838699,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2030,34.50220289,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2031,35.16570678,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2032,35.82921069,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2033,36.27154664,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2034,36.93505054,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2035,37.37738648,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2036,38.04089037,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2037,38.48322629,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2038,39.1467302,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2039,39.58906614,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2040,40.03140208,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2041,40.47373799,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2042,40.91607395,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2043,41.35840988,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2044,41.80074581,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2045,42.24308176,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2046,42.68541767,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2047,43.12775361,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2048,43.34892159,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2049,43.79125754,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2050,44.01242549,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2051,44.4547614,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2052,44.67592939,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2053,45.11826531,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2054,45.33943329,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2055,45.78176921,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2056,46.00293718,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2057,46.22410514,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2058,46.66644111,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2059,46.88760907,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2060,47.10877703,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2061,47.55111297,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2062,47.77228094,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2063,47.99344888,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2064,48.43578484,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2065,48.65695279,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2066,48.87812077,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2067,49.09928873,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2068,49.32045671,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2069,49.76279263,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2070,49.9839606,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2071,50.20512856,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2072,50.42629655,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2073,50.64746452,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2074,50.86863247,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2075,51.08980043,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2076,51.31096841,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2077,51.53213637,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2078,51.75330434,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2079,51.97447229,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2080,52.19564029,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2081,52.41680823,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2082,52.63797621,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2083,52.85914419,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2084,52.85914419,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2085,53.08031213,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2086,53.3014801,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2087,53.52264807,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2088,53.74381604,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2089,53.74381603,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2090,53.964984,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2091,54.18615199,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2092,54.40731995,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2093,54.40731995,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2094,54.62848789,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2095,54.62848793,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2096,54.84965586,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2097,55.07082385,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2098,55.07082384,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2099,55.29199182,GDP (Billion 1990 USD)
Local data BAU,KualaLumpur,2100,55.29199181,GDP (Billion 1990 USD)
