year,class,Units,region,value,scenario
2012,Electricity,KT,Thailand,94.96042,EPPO
2012,Transportation,KT,Thailand,63.11538,EPPO
2013,Industry,KT,Thailand,61.69256,EPPO
2013,other,KT,Thailand,19.80552,EPPO
2013,Electricity,KT,Thailand,96.35507,EPPO
2013,Transportation,KT,Thailand,64.50666,EPPO
2014,Industry,KT,Thailand,66.93858,EPPO
2014,other,KT,Thailand,19.1941,EPPO
2014,Electricity,KT,Thailand,99.05377,EPPO
2014,Transportation,KT,Thailand,65.30029,EPPO
2015,Industry,KT,Thailand,67.98838,EPPO
2015,other,KT,Thailand,19.4081,EPPO
2015,Electricity,KT,Thailand,97.91001,EPPO
2015,Transportation,KT,Thailand,69.12406,EPPO
