"","region","year","value","param"
"61","Thailand",2070,2611104668164.87,"GDP"
"62","Thailand",2071,2705104436218.81,"GDP"
"63","Thailand",2072,2802488195922.69,"GDP"
"64","Thailand",2073,2903377770975.9,"GDP"
"65","Thailand",2074,3007899370731.04,"GDP"
"66","Thailand",2075,3116183748077.35,"GDP"
"67","Thailand",2076,3228366363008.14,"GDP"
"68","Thailand",2077,3344587552076.43,"GDP"
"69","Thailand",2078,3464992703951.18,"GDP"
"70","Thailand",2079,3589732441293.43,"GDP"
"71","Thailand",2080,3718962809179.99,"GDP"
"72","Thailand",2081,3852845470310.47,"GDP"
"73","Thailand",2082,3991547907241.65,"GDP"
"74","Thailand",2083,4135243631902.34,"GDP"
"75","Thailand",2084,4284112402650.83,"GDP"
"76","Thailand",2085,4438340449146.26,"GDP"
"77","Thailand",2086,4598120705315.52,"GDP"
"78","Thailand",2087,4763653050706.88,"GDP"
"79","Thailand",2088,4935144560532.33,"GDP"
"80","Thailand",2089,5112809764711.5,"GDP"
"81","Thailand",2090,5296870916241.11,"GDP"
"82","Thailand",2091,5487558269225.79,"GDP"
"83","Thailand",2092,5685110366917.92,"GDP"
"84","Thailand",2093,5889774340126.96,"GDP"
"85","Thailand",2094,6101806216371.54,"GDP"
"86","Thailand",2095,6321471240160.91,"GDP"
"87","Thailand",2096,6549044204806.7,"GDP"
"88","Thailand",2097,6784809796179.75,"GDP"
"89","Thailand",2098,7029062948842.22,"GDP"
"90","Thailand",2099,7282109215000.54,"GDP"
"91","Thailand",2100,7544265146740.56,"GDP"
"92","Thailand",1950,19748711.1158568,"Population"
"93","Thailand",1951,20519921.647723,"Population"
"94","Thailand",1952,21291132.1795893,"Population"
"95","Thailand",1953,22062342.7114555,"Population"
"96","Thailand",1954,22833553.2433217,"Population"
"97","Thailand",1955,23604763.7751879,"Population"
"98","Thailand",1956,24375974.3070541,"Population"
"99","Thailand",1957,25147184.8389203,"Population"
"100","Thailand",1958,25918395.3707865,"Population"
"101","Thailand",1959,26689605.9026527,"Population"
"102","Thailand",1960,27460816.4345189,"Population"
"103","Thailand",1961,28232026.9663851,"Population"
"104","Thailand",1962,29003237.4982514,"Population"
"105","Thailand",1963,29774448.0301176,"Population"
"106","Thailand",1964,30545658.5619838,"Population"
"107","Thailand",1965,31316869.09385,"Population"
"108","Thailand",1966,32088079.6257162,"Population"
"109","Thailand",1967,32859290.1575824,"Population"
"110","Thailand",1968,33630500.6894486,"Population"
"111","Thailand",1969,34401711.2213148,"Population"
"112","Thailand",1970,35172921.753181,"Population"
"113","Thailand",1971,36110914.0124332,"Population"
"114","Thailand",1972,37048906.2716854,"Population"
"115","Thailand",1973,37986898.5309376,"Population"
"116","Thailand",1974,38924890.7901897,"Population"
"117","Thailand",1975,39862883.0494419,"Population"
"118","Thailand",1976,40800875.3086941,"Population"
"119","Thailand",1977,41738867.5679463,"Population"
"120","Thailand",1978,42676859.8271985,"Population"
"121","Thailand",1979,43614852.0864506,"Population"
"122","Thailand",1980,44552844.3457028,"Population"
"123","Thailand",1981,45490836.604955,"Population"
"124","Thailand",1982,46428828.8642072,"Population"
"125","Thailand",1983,47366821.1234593,"Population"
"126","Thailand",1984,48304813.3827115,"Population"
"127","Thailand",1985,49242805.6419637,"Population"
"128","Thailand",1986,50180797.9012159,"Population"
"129","Thailand",1987,51118790.160468,"Population"
"130","Thailand",1988,52056782.4197202,"Population"
"131","Thailand",1989,52994774.6789724,"Population"
"132","Thailand",1990,53932766.9382246,"Population"
"133","Thailand",1991,54542583.4886152,"Population"
"134","Thailand",1992,55152400.0390059,"Population"
"135","Thailand",1993,55762216.5893965,"Population"
"136","Thailand",1994,56372033.1397872,"Population"
"137","Thailand",1995,56981849.6901778,"Population"
"138","Thailand",1996,57591666.2405685,"Population"
"139","Thailand",1997,58201482.7909591,"Population"
"140","Thailand",1998,58811299.3413498,"Population"
"141","Thailand",1999,59421115.8917405,"Population"
"142","Thailand",2000,60030932.4421311,"Population"
"143","Thailand",2001,60500667.5988511,"Population"
"144","Thailand",2002,60970402.7555711,"Population"
"145","Thailand",2003,61440137.9122911,"Population"
"146","Thailand",2004,61909873.0690111,"Population"
"147","Thailand",2005,62379608.2257311,"Population"
"148","Thailand",2006,62718893.1805849,"Population"
"149","Thailand",2007,63058178.1354386,"Population"
"150","Thailand",2008,63397463.0902924,"Population"
"151","Thailand",2009,63736748.0451462,"Population"
"152","Thailand",2010,64076033,"Population"
"153","Thailand",2011,64076033,"Population"
"154","Thailand",2012,64456695,"Population"
"155","Thailand",2013,64785909,"Population"
"156","Thailand",2014,65124716,"Population"
"157","Thailand",2015,65729098,"Population"
"158","Thailand",2016,65931550,"Population"
"159","Thailand",2017,66188503,"Population"
"160","Thailand",2018,66413979,"Population"
"161","Thailand",2019,66558935,"Population"
"162","Thailand",2020,66186727,"Population"
"163","Thailand",2021,66238500.5715501,"Population"
"164","Thailand",2022,66290274.1431003,"Population"
"165","Thailand",2023,66342047.7146504,"Population"
"166","Thailand",2024,66393821.2862006,"Population"
"167","Thailand",2025,66445594.8577507,"Population"
"168","Thailand",2026,66497368.4293009,"Population"
"169","Thailand",2027,66549142.000851,"Population"
"170","Thailand",2028,66600915.5724012,"Population"
"171","Thailand",2029,66652689.1439513,"Population"
"172","Thailand",2030,66704462.7155014,"Population"
"173","Thailand",2031,66495566.7848696,"Population"
"174","Thailand",2032,66286670.8542378,"Population"
"175","Thailand",2033,66077774.923606,"Population"
"176","Thailand",2034,65868878.9929742,"Population"
"177","Thailand",2035,65659983.0623424,"Population"
"178","Thailand",2036,65451087.1317106,"Population"
"179","Thailand",2037,65242191.2010788,"Population"
"180","Thailand",2038,65033295.270447,"Population"
"181","Thailand",2039,64824399.3398152,"Population"
"182","Thailand",2040,64615503.4091834,"Population"
"183","Thailand",2041,64406607.4785516,"Population"
"184","Thailand",2042,64197711.5479198,"Population"
"185","Thailand",2043,63988815.617288,"Population"
"186","Thailand",2044,63779919.6866562,"Population"
"187","Thailand",2045,63571023.7560244,"Population"
"188","Thailand",2046,63362127.8253926,"Population"
"189","Thailand",2047,63153231.8947607,"Population"
"190","Thailand",2048,62944335.9641289,"Population"
"191","Thailand",2049,62735440.0334971,"Population"
"192","Thailand",2050,62526544.1028653,"Population"
"193","Thailand",2051,62118803.5210602,"Population"
"194","Thailand",2052,61711062.939255,"Population"
"195","Thailand",2053,61303322.3574499,"Population"
"196","Thailand",2054,60895581.7756447,"Population"
"197","Thailand",2055,60487841.1938395,"Population"
"198","Thailand",2056,60080100.6120344,"Population"
"199","Thailand",2057,59672360.0302292,"Population"
"200","Thailand",2058,59264619.4484241,"Population"
"201","Thailand",2059,58856878.8666189,"Population"
"202","Thailand",2060,58449138.2848138,"Population"
"203","Thailand",2061,58041397.7030086,"Population"
"204","Thailand",2062,57633657.1212034,"Population"
"205","Thailand",2063,57225916.5393983,"Population"
"206","Thailand",2064,56818175.9575931,"Population"
"207","Thailand",2065,56410435.375788,"Population"
"208","Thailand",2066,56002694.7939828,"Population"
"209","Thailand",2067,55594954.2121776,"Population"
"210","Thailand",2068,55187213.6303725,"Population"
"211","Thailand",2069,54779473.0485673,"Population"
"212","Thailand",2070,54371732.4667622,"Population"
"213","Thailand",2071,53963991.884957,"Population"
"214","Thailand",2072,53556251.3031519,"Population"
"215","Thailand",2073,53148510.7213467,"Population"
"216","Thailand",2074,52740770.1395416,"Population"
"217","Thailand",2075,52333029.5577364,"Population"
"218","Thailand",2076,51985065.6416917,"Population"
"219","Thailand",2077,51637101.725647,"Population"
"220","Thailand",2078,51289137.8096023,"Population"
"221","Thailand",2079,50941173.8935576,"Population"
"222","Thailand",2080,50593209.9775129,"Population"
"223","Thailand",2081,50245246.0614682,"Population"
"224","Thailand",2082,49897282.1454235,"Population"
"225","Thailand",2083,49549318.2293788,"Population"
"226","Thailand",2084,49201354.3133341,"Population"
"227","Thailand",2085,48853390.3972894,"Population"
"228","Thailand",2086,48505426.4812447,"Population"
"229","Thailand",2087,48157462.5652,"Population"
"230","Thailand",2088,47809498.6491553,"Population"
"231","Thailand",2089,47461534.7331106,"Population"
"232","Thailand",2090,47113570.8170659,"Population"
"233","Thailand",2091,46765606.9010212,"Population"
"234","Thailand",2092,46417642.9849765,"Population"
"235","Thailand",2093,46069679.0689318,"Population"
"236","Thailand",2094,45721715.1528871,"Population"
"237","Thailand",2095,45373751.2368424,"Population"
"238","Thailand",2096,45025787.3207977,"Population"
"239","Thailand",2097,44677823.404753,"Population"
"240","Thailand",2098,44329859.4887083,"Population"
"241","Thailand",2099,43981895.5726636,"Population"
"242","Thailand",2100,43633931.6566189,"Population"
