"","year","region","value"
"154",2000,"Nonthaburi",65738.0686181674
"155",2000,"Rest of Thailand",2543641.91797834
"156",2001,"Thailand",3811659.89953827
"157",2001,"Bangkok",1094580.21800912
"158",2001,"Samut Prakan",233552.441928438
"159",2001,"Nonthaburi",62567.4623590976
"160",2001,"Rest of Thailand",2420959.77724161
"161",2002,"Thailand",4255417.77089752
"162",2002,"Bangkok",1222012.51794609
"163",2002,"Samut Prakan",260742.888403864
"164",2002,"Nonthaburi",69851.6389762683
"165",2002,"Rest of Thailand",2702810.72557131
"166",2003,"Thailand",4825126.19839052
"167",2003,"Bangkok",1385613.57134607
"168",2003,"Samut Prakan",295650.723293414
"169",2003,"Nonthaburi",79203.2630802832
"170",2003,"Rest of Thailand",3064658.64067076
"171",2004,"Thailand",5478326.37818853
"172",2004,"Bangkok",1573190.64119259
"173",2004,"Samut Prakan",335674.36157195
"174",2004,"Nonthaburi",89925.3838202313
"175",2004,"Rest of Thailand",3479535.99160376
"176",2005,"Thailand",5998700.21048651
"177",2005,"Bangkok",1722624.46210404
"178",2005,"Samut Prakan",367559.309980798
"179",2005,"Nonthaburi",98467.1926444936
"180",2005,"Rest of Thailand",3810049.24575717
"181",2006,"Thailand",7026551.80556134
"182",2006,"Bangkok",2017788.78753463
"183",2006,"Samut Prakan",430539.023884141
"184",2006,"Nonthaburi",115339.124474868
"185",2006,"Rest of Thailand",4462884.8696677
"186",2007,"Thailand",8331494.6241304
"187",2007,"Bangkok",2392524.37058384
"188",2007,"Samut Prakan",510496.992298559
"189",2007,"Nonthaburi",136759.440776301
"190",2007,"Rest of Thailand",5291713.8204717
"191",2008,"Thailand",9232666.89255801
"192",2008,"Bangkok",2651310.66422949
"193",2008,"Samut Prakan",565714.663716451
"194",2008,"Nonthaburi",151551.962530599
"195",2008,"Rest of Thailand",5864089.60208147
"196",2009,"Thailand",8926171.36312865
"197",2009,"Bangkok",2563295.48127409
"198",2009,"Samut Prakan",546934.7145014
"199",2009,"Nonthaburi",146520.913589657
"200",2009,"Rest of Thailand",5669420.2537635
"201",2010,"Thailand",10808142
"202",2010,"Bangkok",3103734
"203",2010,"Samut Prakan",662249
"204",2010,"Nonthaburi",177413
"205",2010,"Rest of Thailand",6864746
"206",2011,"Thailand",11306907
"207",2011,"Bangkok",3352275
"208",2011,"Samut Prakan",602198
"209",2011,"Nonthaburi",176592
"210",2011,"Rest of Thailand",7175842
"211",2012,"Thailand",12357344
"212",2012,"Bangkok",3660056
"213",2012,"Samut Prakan",701302
"214",2012,"Nonthaburi",199006
"215",2012,"Rest of Thailand",7796980
"216",2013,"Thailand",12915159
"217",2013,"Bangkok",3956053
"218",2013,"Samut Prakan",655860
"219",2013,"Nonthaburi",221843
"220",2013,"Rest of Thailand",8081403
"221",2014,"Thailand",13230306
"222",2014,"Bangkok",4204278
"223",2014,"Samut Prakan",666003
"224",2014,"Nonthaburi",253336
"225",2014,"Rest of Thailand",8106689
"226",2015,"Thailand",13743478
"227",2015,"Bangkok",4467778
"228",2015,"Samut Prakan",687473
"229",2015,"Nonthaburi",272336
"230",2015,"Rest of Thailand",8315891
"231",2016,"Thailand",14590337
"232",2016,"Bangkok",4781066
"233",2016,"Samut Prakan",702885
"234",2016,"Nonthaburi",289477
"235",2016,"Rest of Thailand",8816909
"236",2017,"Thailand",15488664
"237",2017,"Bangkok",5071589
"238",2017,"Samut Prakan",729651
"239",2017,"Nonthaburi",317138
"240",2017,"Rest of Thailand",9370286
"241",2018,"Thailand",16368711
"242",2018,"Bangkok",5409699
"243",2018,"Samut Prakan",791748
"244",2018,"Nonthaburi",326541
"245",2018,"Rest of Thailand",9840723
"246",2019,"Thailand",16898086
"247",2019,"Bangkok",5709940
"248",2019,"Samut Prakan",772498
"249",2019,"Nonthaburi",345411
"250",2019,"Rest of Thailand",10070237
"251",2020,"Thailand",17557111.354
"252",2020,"Bangkok",5932627.66
"253",2020,"Samut Prakan",802625.422
"254",2020,"Nonthaburi",358882.029
"255",2020,"Rest of Thailand",10462976.243
"256",2021,"Thailand",18224281.585452
"257",2021,"Bangkok",6158067.51108
"258",2021,"Samut Prakan",833125.188036
"259",2021,"Nonthaburi",372519.546102
"260",2021,"Rest of Thailand",10860569.340234
"261",2022,"Thailand",18935028.5672846
"262",2022,"Bangkok",6398232.14401212
"263",2022,"Samut Prakan",865617.070369404
"264",2022,"Nonthaburi",387047.808399978
"265",2022,"Rest of Thailand",11284131.5445031
"266",2023,"Thailand",19654559.6528414
"267",2023,"Bangkok",6641364.96548458
"268",2023,"Samut Prakan",898510.519043441
"269",2023,"Nonthaburi",401755.625119177
"270",2023,"Rest of Thailand",11712928.5431942
"271",2024,"Thailand",20421087.4793023
"272",2024,"Bangkok",6900378.19913848
"273",2024,"Samut Prakan",933552.429286135
"274",2024,"Nonthaburi",417424.094498825
"275",2024,"Rest of Thailand",12169732.7563788
"276",2025,"Thailand",21197088.8035157
"277",2025,"Bangkok",7162592.57070574
"278",2025,"Samut Prakan",969027.421599008
"279",2025,"Nonthaburi",433286.21008978
"280",2025,"Rest of Thailand",12632182.6011212
"281",2026,"Thailand",21981381.0892458
"282",2026,"Bangkok",7427608.49582185
"283",2026,"Samut Prakan",1004881.43619817
"284",2026,"Nonthaburi",449317.799863102
"285",2026,"Rest of Thailand",13099573.3573627
"286",2027,"Thailand",22816673.5706372
"287",2027,"Bangkok",7709857.61866308
"288",2027,"Samut Prakan",1043066.9307737
"289",2027,"Nonthaburi",466391.8762579
"290",2027,"Rest of Thailand",13597357.1449425
"291",2028,"Thailand",23660890.4927507
"292",2028,"Bangkok",7995122.35055362
"293",2028,"Samut Prakan",1081660.40721233
"294",2028,"Nonthaburi",483648.375679442
"295",2028,"Rest of Thailand",14100459.3593054
"296",2029,"Thailand",24536343.4409825
"297",2029,"Bangkok",8290941.8775241
"298",2029,"Samut Prakan",1121681.84227919
"299",2029,"Nonthaburi",501543.365579582
"300",2029,"Rest of Thailand",14622176.3555997
"301",2030,"Thailand",25444188.1482989
"302",2030,"Bangkok",8597706.72699249
"303",2030,"Samut Prakan",1163184.07044351
"304",2030,"Nonthaburi",520100.470106026
"305",2030,"Rest of Thailand",15163196.8807568
"306",2031,"Thailand",26385623.1097859
"307",2031,"Bangkok",8915821.87589121
"308",2031,"Samut Prakan",1206221.88104992
"309",2031,"Nonthaburi",539344.187499949
"310",2031,"Rest of Thailand",15724235.1653448
"311",2032,"Thailand",27361891.164848
"312",2032,"Bangkok",9245707.28529918
"313",2032,"Samut Prakan",1250852.09064877
"314",2032,"Nonthaburi",559299.922437447
"315",2032,"Rest of Thailand",16306031.8664626
"316",2033,"Thailand",28374281.1379474
"317",2033,"Bangkok",9587798.45485525
"318",2033,"Samut Prakan",1297133.61800278
"319",2033,"Nonthaburi",579994.019567633
"320",2033,"Rest of Thailand",16909355.0455217
"321",2034,"Thailand",29395755.2589135
"322",2034,"Bangkok",9932959.19923004
"323",2034,"Samut Prakan",1343830.42825088
"324",2034,"Nonthaburi",600873.804272068
"325",2034,"Rest of Thailand",17518091.8271605
"326",2035,"Thailand",30454002.4482344
"327",2035,"Bangkok",10290545.7304023
"328",2035,"Samut Prakan",1392208.32366791
"329",2035,"Nonthaburi",622505.261225862
"330",2035,"Rest of Thailand",18148743.1329383
"331",2036,"Thailand",31550346.5363708
"332",2036,"Bangkok",10661005.3766968
"333",2036,"Samut Prakan",1442327.82331995
"334",2036,"Nonthaburi",644915.450629993
"335",2036,"Rest of Thailand",18802097.885724
"336",2037,"Thailand",32686159.0116802
"337",2037,"Bangkok",11044801.5702579
"338",2037,"Samut Prakan",1494251.62495947
"339",2037,"Nonthaburi",668132.406852673
"340",2037,"Rest of Thailand",19478973.4096101
"341",2038,"Thailand",33862860.7361006
"342",2038,"Bangkok",11442414.4267872
"343",2038,"Samut Prakan",1548044.68345801
"344",2038,"Nonthaburi",692185.173499369
"345",2038,"Rest of Thailand",20180216.4523561
"346",2039,"Thailand",35081923.7226003
"347",2039,"Bangkok",11854341.3461515
"348",2039,"Samut Prakan",1603774.2920625
"349",2039,"Nonthaburi",717103.839745346
"350",2039,"Rest of Thailand",20906704.2446409
"351",2040,"Thailand",36344872.9766139
"352",2040,"Bangkok",12281097.634613
"353",2040,"Samut Prakan",1661510.16657675
"354",2040,"Nonthaburi",742919.577976179
"355",2040,"Rest of Thailand",21659345.597448
"356",2041,"Thailand",37653288.403772
"357",2041,"Bangkok",12723217.149459
"358",2041,"Samut Prakan",1721324.53257351
"359",2041,"Nonthaburi",769664.682783321
"360",2041,"Rest of Thailand",22439082.0389561
"361",2042,"Thailand",39008806.7863078
"362",2042,"Bangkok",13181252.9668396
"363",2042,"Samut Prakan",1783292.21574616
"364",2042,"Nonthaburi",797372.611363521
"365",2042,"Rest of Thailand",23246888.9923585
"366",2043,"Thailand",40413123.8306148
"367",2043,"Bangkok",13655778.0736458
"368",2043,"Samut Prakan",1847490.73551302
"369",2043,"Nonthaburi",826078.025372608
"370",2043,"Rest of Thailand",24083776.9960834
"371",2044,"Thailand",41867996.288517
"372",2044,"Bangkok",14147386.084297
"373",2044,"Samut Prakan",1914000.40199149
"374",2044,"Nonthaburi",855816.834286022
"375",2044,"Rest of Thailand",24950792.9679424
"376",2045,"Thailand",43375244.1549036
"377",2045,"Bangkok",14656691.9833317
"378",2045,"Samut Prakan",1982904.41646319
"379",2045,"Nonthaburi",886626.240320318
"380",2045,"Rest of Thailand",25849021.5147884
"381",2046,"Thailand",44936752.9444801
"382",2046,"Bangkok",15184332.8947317
"383",2046,"Samut Prakan",2054288.97545586
"384",2046,"Nonthaburi",918544.78497185
"385",2046,"Rest of Thailand",26779586.2893207
"386",2047,"Thailand",46554476.0504814
"387",2047,"Bangkok",15730968.878942
"388",2047,"Samut Prakan",2128243.37857227
"389",2047,"Nonthaburi",951612.397230837
"390",2047,"Rest of Thailand",27743651.3957363
"391",2048,"Thailand",48230437.1882987
"392",2048,"Bangkok",16297283.7585839
"393",2048,"Samut Prakan",2204860.14020087
"394",2048,"Nonthaburi",985870.443531147
"395",2048,"Rest of Thailand",28742422.8459828
"396",2049,"Thailand",49966732.9270775
"397",2049,"Bangkok",16883985.9738929
"398",2049,"Samut Prakan",2284235.1052481
"399",2049,"Nonthaburi",1021361.77949827
"400",2049,"Rest of Thailand",29777150.0684382
"401",2050,"Thailand",51765535.3124523
"402",2050,"Bangkok",17491809.4689531
"403",2050,"Samut Prakan",2366467.56903704
"404",2050,"Nonthaburi",1058130.80356021
"405",2050,"Rest of Thailand",30849127.470902
"406",2051,"Thailand",53629094.5837006
"407",2051,"Bangkok",18121514.6098354
"408",2051,"Samut Prakan",2451660.40152237
"409",2051,"Nonthaburi",1096223.51248837
"410",2051,"Rest of Thailand",31959696.0598544
"411",2052,"Thailand",55559741.9887138
"412",2052,"Bangkok",18773889.1357895
"413",2052,"Samut Prakan",2539920.17597717
"414",2052,"Nonthaburi",1135687.55893795
"415",2052,"Rest of Thailand",33110245.1180092
"416",2053,"Thailand",57559892.7003075
"417",2053,"Bangkok",19449749.1446779
"418",2053,"Samut Prakan",2631357.30231235
"419",2053,"Nonthaburi",1176572.31105972
"420",2053,"Rest of Thailand",34302213.9422575
"421",2054,"Thailand",59632048.8375186
"422",2054,"Bangkok",20149940.1138863
"423",2054,"Samut Prakan",2726086.1651956
"424",2054,"Nonthaburi",1218928.91425787
"425",2054,"Rest of Thailand",35537093.6441788
"426",2055,"Thailand",61778802.5956692
"427",2055,"Bangkok",20875337.9579862
"428",2055,"Samut Prakan",2824225.26714264
"429",2055,"Nonthaburi",1262810.35517115
"430",2055,"Rest of Thailand",36816429.0153692
"431",2056,"Thailand",64002839.4891133
"432",2056,"Bangkok",21626850.1244737
"433",2056,"Samut Prakan",2925897.37675977
"434",2056,"Nonthaburi",1308271.52795732
"435",2056,"Rest of Thailand",38141820.4599225
"436",2057,"Thailand",66306941.7107214
"437",2057,"Bangkok",22405416.7289548
"438",2057,"Samut Prakan",3031229.68232313
"439",2057,"Nonthaburi",1355369.30296378
"440",2057,"Rest of Thailand",39514925.9964797
"441",2058,"Thailand",68693991.6123074
"442",2058,"Bangkok",23212011.7311971
"443",2058,"Samut Prakan",3140353.95088676
"444",2058,"Nonthaburi",1404162.59787048
"445",2058,"Rest of Thailand",40937463.332353
"446",2059,"Thailand",71166975.3103504
"447",2059,"Bangkok",24047644.1535202
"448",2059,"Samut Prakan",3253406.69311868
"449",2059,"Nonthaburi",1454712.45139381
"450",2059,"Rest of Thailand",42411212.0123177
"451",2060,"Thailand",73728986.421523
"452",2060,"Bangkok",24913359.343047
"453",2060,"Samut Prakan",3370529.33407096
"454",2060,"Nonthaburi",1507082.09964399
"455",2060,"Rest of Thailand",43938015.6447611
"456",2061,"Thailand",76383229.9326979
"457",2061,"Bangkok",25810240.2793967
"458",2061,"Samut Prakan",3491868.39009751
"459",2061,"Nonthaburi",1561337.05523117
"460",2061,"Rest of Thailand",45519784.2079725
"461",2062,"Thailand",79133026.210275
"462",2062,"Bangkok",26739408.9294549
"463",2062,"Samut Prakan",3617575.65214102
"464",2062,"Nonthaburi",1617545.1892195
"465",2062,"Rest of Thailand",47158496.4394595
"466",2063,"Thailand",81981815.1538449
"467",2063,"Bangkok",27702027.6509153
"468",2063,"Samut Prakan",3747808.3756181
"469",2063,"Nonthaburi",1675776.8160314
"470",2063,"Rest of Thailand",48856202.3112801
"471",2064,"Thailand",84933160.4993833
"472",2064,"Bangkok",28699300.6463483
"473",2064,"Samut Prakan",3882729.47714035
"474",2064,"Nonthaburi",1736104.78140853
"475",2064,"Rest of Thailand",50615025.5944862
"476",2065,"Thailand",87990754.2773611
"477",2065,"Bangkok",29732475.4696168
"478",2065,"Samut Prakan",4022507.7383174
"479",2065,"Nonthaburi",1798604.55353923
"480",2065,"Rest of Thailand",52437166.5158877
"481",2066,"Thailand",91158421.4313461
"482",2066,"Bangkok",30802844.586523
"483",2066,"Samut Prakan",4167318.01689683
"484",2066,"Nonthaburi",1863354.31746665
"485",2066,"Rest of Thailand",54324904.5104596
"486",2067,"Thailand",94440124.6028746
"487",2067,"Bangkok",31911746.9916379
"488",2067,"Samut Prakan",4317341.46550511
"489",2067,"Nonthaburi",1930435.07289545
"490",2067,"Rest of Thailand",56280601.0728362
"491",2068,"Thailand",97839969.0885781
"492",2068,"Bangkok",33060569.8833368
"493",2068,"Samut Prakan",4472765.7582633
"494",2068,"Nonthaburi",1999930.73551968
"495",2068,"Rest of Thailand",58306702.7114583
"496",2069,"Thailand",101362207.975767
"497",2069,"Bangkok",34250750.399137
"498",2069,"Samut Prakan",4633785.32556078
"499",2069,"Nonthaburi",2071928.24199839
"500",2069,"Rest of Thailand",60405744.0090708
"501",2070,"Thailand",105011247.462895
"502",2070,"Bangkok",35483777.4135059
"503",2070,"Samut Prakan",4800601.59728097
"504",2070,"Nonthaburi",2146517.65871033
"505",2070,"Rest of Thailand",62580350.7933973
"506",2071,"Thailand",108791652.371559
"507",2071,"Bangkok",36761193.4003921
"508",2071,"Samut Prakan",4973423.25478308
"509",2071,"Nonthaburi",2223792.29442391
"510",2071,"Rest of Thailand",64833243.4219597
"511",2072,"Thailand",112708151.856935
"512",2072,"Bangkok",38084596.3628062
"513",2072,"Samut Prakan",5152466.49195527
"514",2072,"Nonthaburi",2303848.81702317
"515",2072,"Rest of Thailand",67167240.1851502
"516",2073,"Thailand",116765645.323785
"517",2073,"Bangkok",39455641.8318672
"518",2073,"Samut Prakan",5337955.28566566
"519",2073,"Nonthaburi",2386787.374436
"520",2073,"Rest of Thailand",69585260.8318156
"521",2074,"Thailand",120969208.555441
"522",2074,"Bangkok",40876044.9378145
"523",2074,"Samut Prakan",5530121.67594963
"524",2074,"Nonthaburi",2472711.7199157
"525",2074,"Rest of Thailand",72090330.221761
"526",2075,"Thailand",125324100.063437
"527",2075,"Bangkok",42347582.5555758
"528",2075,"Samut Prakan",5729206.05628381
"529",2075,"Nonthaburi",2561729.34183266
"530",2075,"Rest of Thailand",74685582.1097444
"531",2076,"Thailand",129835767.66572
"532",2076,"Bangkok",43872095.5275765
"533",2076,"Samut Prakan",5935457.47431003
"534",2076,"Nonthaburi",2653951.59813864
"535",2076,"Rest of Thailand",77374263.0656952
"536",2077,"Thailand",134509855.301686
"537",2077,"Bangkok",45451490.9665693
"538",2077,"Samut Prakan",6149133.94338519
"539",2077,"Nonthaburi",2749493.85567163
"540",2077,"Rest of Thailand",80159736.5360602
"541",2078,"Thailand",139352210.092547
"542",2078,"Bangkok",47087744.6413657
"543",2078,"Samut Prakan",6370502.76534706
"544",2078,"Nonthaburi",2848475.63447581
"545",2078,"Rest of Thailand",83045487.0513584
"546",2079,"Thailand",144368889.655879
"547",2079,"Bangkok",48782903.4484549
"548",2079,"Samut Prakan",6599840.86489955
"549",2079,"Nonthaburi",2951020.75731694
"550",2079,"Rest of Thailand",86035124.5852073
"551",2080,"Thailand",149566169.68349
"552",2080,"Bangkok",50539087.9725993
"553",2080,"Samut Prakan",6837435.13603594
"554",2080,"Nonthaburi",3057257.50458035
"555",2080,"Rest of Thailand",89132389.0702747
"556",2081,"Thailand",154950551.792096
"557",2081,"Bangkok",52358495.1396129
"558",2081,"Samut Prakan",7083582.80093323
"559",2081,"Nonthaburi",3167318.77474524
"560",2081,"Rest of Thailand",92341155.0768046
"561",2082,"Thailand",160528771.656611
"562",2082,"Bangkok",54243400.9646389
"563",2082,"Samut Prakan",7338591.78176683
"564",2082,"Nonthaburi",3281342.25063607
"565",2082,"Rest of Thailand",95665436.6595696
"566",2083,"Thailand",166307807.436249
"567",2083,"Bangkok",56196163.3993659
"568",2083,"Samut Prakan",7602781.08591043
"569",2083,"Nonthaburi",3399470.57165897
"570",2083,"Rest of Thailand",99109392.3793141
"571",2084,"Thailand",172294888.503954
"572",2084,"Bangkok",58219225.2817431
"573",2084,"Samut Prakan",7876481.20500321
"574",2084,"Nonthaburi",3521851.51223869
"575",2084,"Rest of Thailand",102677330.504969
"576",2085,"Thailand",178497504.490097
"577",2085,"Bangkok",60315117.3918859
"578",2085,"Samut Prakan",8160034.52838332
"579",2085,"Nonthaburi",3648638.16667928
"580",2085,"Rest of Thailand",106373714.403148
"581",2086,"Thailand",184923414.65174
"582",2086,"Bangkok",62486461.6179938
"583",2086,"Samut Prakan",8453795.77140512
"584",2086,"Nonthaburi",3779989.14067974
"585",2086,"Rest of Thailand",110203168.121662
"586",2087,"Thailand",191580657.579203
"587",2087,"Bangkok",64735974.2362415
"588",2087,"Samut Prakan",8758132.41917571
"589",2087,"Nonthaburi",3916068.74974421
"590",2087,"Rest of Thailand",114170482.174041
"591",2088,"Thailand",198477561.252054
"592",2088,"Bangkok",67066469.3087462
"593",2088,"Samut Prakan",9073425.18626603
"594",2088,"Nonthaburi",4057047.224735
"595",2088,"Rest of Thailand",118280619.532307
"596",2089,"Thailand",205622753.457128
"597",2089,"Bangkok",69480862.2038611
"598",2089,"Samut Prakan",9400068.49297161
"599",2089,"Nonthaburi",4203100.92482546
"600",2089,"Rest of Thailand",122538721.83547
"601",2090,"Thailand",213025172.581585
"602",2090,"Bangkok",71982173.2432001
"603",2090,"Samut Prakan",9738470.95871859
"604",2090,"Nonthaburi",4354412.55811918
"605",2090,"Rest of Thailand",126950115.821547
"606",2091,"Thailand",220694078.794522
"607",2091,"Bangkok",74573531.4799553
"608",2091,"Samut Prakan",10089055.9132325
"609",2091,"Nonthaburi",4511171.41021147
"610",2091,"Rest of Thailand",131520319.991123
"611",2092,"Thailand",228639065.631125
"612",2092,"Bangkok",77258178.6132337
"613",2092,"Samut Prakan",10452261.9261088
"614",2092,"Nonthaburi",4673573.58097908
"615",2092,"Rest of Thailand",136255051.510803
"616",2093,"Thailand",236870071.993845
"617",2093,"Bangkok",80039473.0433101
"618",2093,"Samut Prakan",10828543.3554487
"619",2093,"Nonthaburi",4841822.22989433
"620",2093,"Rest of Thailand",141160233.365192
"621",2094,"Thailand",245397394.585624
"622",2094,"Bangkok",82920894.0728693
"623",2094,"Samut Prakan",11218370.9162449
"624",2094,"Nonthaburi",5016127.83017052
"625",2094,"Rest of Thailand",146242001.766339
"626",2095,"Thailand",254231700.790706
"627",2095,"Bangkok",85906046.2594926
"628",2095,"Samut Prakan",11622232.2692297
"629",2095,"Nonthaburi",5196708.43205666
"630",2095,"Rest of Thailand",151506713.829927
"631",2096,"Thailand",263384042.019171
"632",2096,"Bangkok",88998663.9248343
"633",2096,"Samut Prakan",12040632.630922
"634",2096,"Nonthaburi",5383789.9356107
"635",2096,"Rest of Thailand",156960955.527804
"636",2097,"Thailand",272865867.531862
"637",2097,"Bangkok",92202615.8261284
"638",2097,"Samut Prakan",12474095.4056352
"639",2097,"Nonthaburi",5577606.37329268
"640",2097,"Rest of Thailand",162611549.926805
"641",2098,"Thailand",282689038.763009
"642",2098,"Bangkok",95521909.995869
"643",2098,"Samut Prakan",12923162.840238
"644",2098,"Nonthaburi",5778400.20273122
"645",2098,"Rest of Thailand",168465565.72417
"646",2099,"Thailand",292865844.158477
"647",2099,"Bangkok",98960698.7557203
"648",2099,"Samut Prakan",13388396.7024866
